时间 - 电压,幅值 - 电压,时间 - 电压_0,幅值 2 - 电压_0,时间 - 电压_1,幅值 3 - 电压_1
10:56.8,0.00121236,10:56.8,0.216197,10:56.8,-0.40114
10:56.8,0.169959,10:56.8,0.162053,10:56.8,-0.404332
10:56.8,0.624068,10:56.8,0.0841451,10:56.8,-0.222772
10:56.8,0.46754,10:56.8,0.0962508,10:56.8,0.033015
10:56.8,0.2284,10:56.8,0.020833,10:56.8,0.168599
10:56.8,0.23562,10:56.8,-0.165176,10:56.8,0.222896
10:56.8,-0.0422549,10:56.8,-0.292768,10:56.8,0.189288
10:56.8,-0.234413,10:56.8,-0.260904,10:56.8,0.0854301
10:56.8,-0.281678,10:56.8,-0.33957,10:56.8,-0.0858116
10:56.8,-0.463823,10:56.8,-0.410737,10:56.8,-0.244009
10:56.8,-0.280312,10:56.8,-0.330271,10:56.8,-0.319512
10:56.8,0.122597,10:56.8,-0.21096,10:56.8,-0.291106
10:56.8,0.105335,10:56.8,-0.21291,10:56.8,-0.228133
10:56.8,0.123363,10:56.8,-0.133599,10:56.8,-0.0809121
10:56.8,0.409619,10:56.8,0.0257659,10:56.8,0.179789
10:56.8,0.318367,10:56.8,0.0954306,10:56.8,0.342968
10:56.8,0.205586,10:56.8,0.117352,10:56.8,0.403407
10:56.8,0.169729,10:56.8,0.15959,10:56.8,0.441858
10:56.8,-0.19986,10:56.8,0.12601,10:56.8,0.370724
10:56.8,-0.466774,10:56.8,0.063045,10:56.8,0.183309
10:56.8,-0.410841,10:56.8,0.0193894,10:56.8,0.0620973
10:56.8,-0.324218,10:56.8,-0.0799358,10:56.8,-0.0447142
10:56.8,-0.236833,10:56.8,-0.191396,10:56.8,-0.162817
10:56.8,0.175254,10:56.8,-0.123742,10:56.8,-0.167986
10:56.8,0.519007,10:56.8,-0.00761867,10:56.8,-0.0991642
10:56.8,0.607824,10:56.8,0.0188029,10:56.8,-0.0310922
10:56.8,0.654399,10:56.8,-0.0109005,10:56.8,0.0705361
10:56.8,0.420628,10:56.8,0.137316,10:56.8,0.23103
10:56.8,0.280242,10:56.8,0.229373,10:56.8,0.346725
10:56.8,0.17081,10:56.8,0.1524,10:56.8,0.39142
10:56.8,-0.158076,10:56.8,0.0484371,10:56.8,0.353683
