时间 - 电压,幅值 - 电压,时间 - 电压_0,幅值 2 - 电压_0,时间 - 电压_1,幅值 3 - 电压_1
11:08.1,0.498239,11:08.1,-0.016731,11:08.1,0.203791
11:08.1,0.38536,11:08.1,0.0305641,11:08.1,0.260199
11:08.1,0.149782,11:08.1,0.135329,11:08.1,0.223732
11:08.1,-0.0598383,11:08.1,0.202626,11:08.1,0.141773
11:08.1,-0.292124,11:08.1,0.150597,11:08.1,-0.0101912
11:08.1,-0.439372,11:08.1,0.102549,11:08.1,-0.220819
11:08.1,-0.498749,11:08.1,0.0563276,11:08.1,-0.331932
11:08.1,-0.438287,11:08.1,-0.00856161,11:08.1,-0.31202
11:08.1,-0.00686288,11:08.1,-0.0325811,11:08.1,-0.299772
11:08.1,0.183018,11:08.1,0.0897443,11:08.1,-0.264914
11:08.1,0.2502,11:08.1,0.167714,11:08.1,-0.136547
11:08.1,0.554786,11:08.1,0.156603,11:08.1,0.0167906
11:08.1,0.544809,11:08.1,0.190587,11:08.1,0.11732
11:08.1,0.299151,11:08.1,0.251241,11:08.1,0.131581
11:08.1,0.299348,11:08.1,0.232759,11:08.1,0.107467
11:08.1,0.382038,11:08.1,0.147204,11:08.1,0.0921583
11:08.1,0.315194,11:08.1,0.101187,11:08.1,0.0295675
11:08.1,0.065397,11:08.1,0.0943041,11:08.1,-0.0581419
11:08.1,-0.0794089,11:08.1,0.0106728,11:08.1,-0.0835967
11:08.1,0.0438499,11:08.1,-0.0555527,11:08.1,-0.13477
11:08.1,0.128311,11:08.1,-0.0398672,11:08.1,-0.166787
11:08.1,-0.0867248,11:08.1,-0.00646591,11:08.1,-0.0931835
11:08.1,0.0141406,11:08.1,-0.0281835,11:08.1,-0.0244844
11:08.1,0.202545,11:08.1,0.0130033,11:08.1,0.0109148
11:08.2,0.236826,11:08.2,0.0725996,11:08.2,0.0598931
11:08.2,0.406306,11:08.2,0.0844121,11:08.2,0.0593925
11:08.2,0.427616,11:08.2,0.0608981,11:08.2,0.0285339
11:08.2,0.29514,11:08.2,0.0559485,11:08.2,0.085578
11:08.2,0.291798,11:08.2,0.0366759,11:08.2,0.12585
11:08.2,0.0593114,11:08.2,0.0164199,11:08.2,0.121154
11:08.2,-0.205578,11:08.2,-0.0231385,11:08.2,0.180632
11:08.2,-0.306646,11:08.2,-0.11492,11:08.2,0.208536
11:08.2,-0.610149,11:08.2,-0.174626,11:08.2,0.158525
11:08.2,-0.529401,11:08.2,-0.119491,11:08.2,0.132973
11:08.2,-0.117964,11:08.2,-0.0562584,11:08.2,0.137724
11:08.2,0.0909388,11:08.2,-0.0271153,11:08.2,0.122848
11:08.2,0.235511,11:08.2,-0.00814676,11:08.2,0.0929046
11:08.2,0.451049,11:08.2,0.0378704,11:08.2,-0.0181651
11:08.2,0.686092,11:08.2,0.0480783,11:08.2,-0.113391
11:08.2,0.529276,11:08.2,0.0767767,11:08.2,-0.0664949
11:08.2,0.00718117,11:08.2,0.115119,11:08.2,-0.044657
11:08.2,-0.321614,11:08.2,0.0895762,11:08.2,-0.0251877
11:08.2,-0.552886,11:08.2,-0.0384939,11:08.2,0.12437
11:08.2,-0.703235,11:08.2,-0.117878,11:08.2,0.245415
11:08.2,-0.67037,11:08.2,-0.117615,11:08.2,0.274413
11:08.2,-0.622972,11:08.2,-0.139997,11:08.2,0.338297
11:08.2,-0.379725,11:08.2,-0.222321,11:08.2,0.365331
11:08.2,0.00933647,11:08.2,-0.23313,11:08.2,0.323132
11:08.2,0.251154,11:08.2,-0.18312,11:08.2,0.321403
11:08.2,0.402098,11:08.2,-0.140095,11:08.2,0.251645
11:08.2,0.382838,11:08.2,-0.0902307,11:08.2,0.0970376
11:08.2,0.193651,11:08.2,-0.00664473,11:08.2,-0.00923872
11:08.2,0.282409,11:08.2,0.0608337,11:08.2,-0.117573
11:08.2,0.27177,11:08.2,0.0825214,11:08.2,-0.215621
11:08.2,-0.123359,11:08.2,0.0718749,11:08.2,-0.210866
11:08.2,-0.26834,11:08.2,0.0318682,11:08.2,-0.189924
11:08.2,-0.285933,11:08.2,-0.0829959,11:08.2,-0.186002
11:08.2,-0.383321,11:08.2,-0.216175,11:08.2,-0.146323
11:08.2,-0.390865,11:08.2,-0.322804,11:08.2,-0.119133
11:08.2,-0.349568,11:08.2,-0.375974,11:08.2,-0.118828
11:08.2,-0.215355,11:08.2,-0.36177,11:08.2,-0.0873137
11:08.2,0.0164163,11:08.2,-0.251676,11:08.2,-0.0844598
11:08.2,0.170485,11:08.2,-0.146112,11:08.2,-0.150312
11:08.2,0.233994,11:08.2,-0.0578082,11:08.2,-0.167451
11:08.2,0.25565,11:08.2,0.0751972,11:08.2,-0.147913
11:08.2,0.202878,11:08.2,0.220499,11:08.2,-0.103831
11:08.2,0.07815,11:08.2,0.249888,11:08.2,-0.00554085
11:08.2,-0.120308,11:08.2,0.141534,11:08.2,0.0642908
11:08.2,-0.29531,11:08.2,0.0258267,11:08.2,0.122082
