时间 - 电压,幅值 - 电压,时间 - 电压_0,幅值 2 - 电压_0,时间 - 电压_1,幅值 3 - 电压_1
10:14.5,-0.714514,10:14.5,-0.379798,10:14.5,-0.0612879
10:14.5,-0.833538,10:14.5,-0.353538,10:14.5,0.0833285
10:14.5,-0.58796,10:14.5,-0.246,10:14.5,0.0526786
10:14.5,-0.331326,10:14.5,-0.0877929,10:14.5,0.0828946
10:14.5,-0.0324488,10:14.5,0.0972986,10:14.5,0.068022
10:14.5,0.429087,10:14.5,0.262531,10:14.5,-0.100499
10:14.5,0.595257,10:14.5,0.398756,10:14.5,-0.107121
10:14.5,0.681895,10:14.5,0.417919,10:14.5,-0.0932384
10:14.5,0.756779,10:14.5,0.353289,10:14.5,-0.228255
10:14.5,0.481184,10:14.5,0.182707,10:14.5,-0.1916
10:14.5,0.298967,10:14.5,0.0145614,10:14.5,-0.145406
10:14.5,0.0825655,10:14.5,-0.176747,10:14.5,-0.247273
10:14.5,-0.217839,10:14.5,-0.362629,10:14.5,-0.114175
10:14.5,-0.144789,10:14.5,-0.45577,10:14.5,0.104235
10:14.5,-0.200253,10:14.5,-0.433999,10:14.5,0.0873411
10:14.5,-0.421618,10:14.5,-0.319039,10:14.5,0.131633
10:14.5,-0.0608075,10:14.5,-0.15601,10:14.5,0.203551
10:14.5,0.0734127,10:14.5,0.132631,10:14.5,0.121913
10:14.5,0.0450623,10:14.5,0.388004,10:14.5,0.149227
10:14.5,0.270177,10:14.5,0.474412,10:14.5,0.169517
10:14.5,0.311255,10:14.5,0.501992,10:14.5,0.00531554
10:14.5,0.257627,10:14.5,0.479795,10:14.5,-0.0389087
10:14.5,0.326552,10:14.5,0.359786,10:14.5,0.00867844
10:14.5,0.317892,10:14.5,0.117841,10:14.5,-0.0589025
10:14.5,0.0428498,10:14.5,-0.12753,10:14.5,-0.0437772
10:14.5,0.0851929,10:14.5,-0.323095,10:14.5,-0.00358701
10:14.5,0.0214219,10:14.5,-0.455215,10:14.5,-0.065161
10:14.5,-0.280505,10:14.5,-0.598938,10:14.5,0.050379
10:14.5,-0.0698733,10:14.5,-0.609227,10:14.5,0.159558
10:14.5,0.0585151,10:14.5,-0.393078,10:14.5,0.0482702
10:14.5,0.0166202,10:14.5,-0.160505,10:14.5,-0.00444055
10:14.5,0.143442,10:14.5,0.0102401,10:14.5,0.0385618
10:14.5,-0.0627446,10:14.5,0.140381,10:14.5,-0.0435591
10:14.5,-0.109739,10:14.5,0.247904,10:14.5,-0.0751781
10:14.5,-0.0789595,10:14.5,0.229439,10:14.5,-0.0572705
10:14.5,-0.224565,10:14.5,0.194136,10:14.5,-0.132307
10:14.5,-0.237961,10:14.5,0.0451279,10:14.5,-0.107251
10:14.5,-0.417215,10:14.5,-0.219728,10:14.5,-0.0106514
10:14.5,-0.561173,10:14.5,-0.408722,10:14.5,-0.000749826
10:14.5,-0.241104,10:14.5,-0.522623,10:14.5,-0.00581503
10:14.5,-0.182244,10:14.5,-0.535206,10:14.5,0.00983357
10:14.5,-0.229535,10:14.5,-0.453615,10:14.5,-0.0105095
