时间 - 电压,幅值 - 电压,时间 - 电压_0,幅值 2 - 电压_0,时间 - 电压_1,幅值 3 - 电压_1
13:24.9,-1.29349,13:24.9,0.253971,13:24.9,0.443741
13:24.9,-1.13252,13:24.9,0.0906312,13:24.9,0.468999
13:24.9,-0.805598,13:24.9,-0.0349832,13:24.9,0.401188
13:24.9,-0.255681,13:24.9,-0.104166,13:24.9,0.208384
13:24.9,0.510691,13:24.9,-0.27693,13:24.9,0.0510836
13:24.9,1.16381,13:24.9,-0.498116,13:24.9,-0.0731802
13:24.9,1.45073,13:24.9,-0.464293,13:24.9,-0.1797
13:24.9,1.31005,13:24.9,-0.305332,13:24.9,-0.173059
13:24.9,0.823619,13:24.9,-0.281779,13:24.9,-0.135777
13:24.9,0.153421,13:24.9,-0.234183,13:24.9,-0.0943232
13:24.9,-0.557325,13:24.9,-0.0226283,13:24.9,0.0728726
13:24.9,-1.08352,13:24.9,0.209112,13:24.9,0.24052
13:24.9,-1.28746,13:24.9,0.255753,13:24.9,0.238786
13:24.9,-0.997983,13:24.9,0.22663,13:24.9,0.218921
13:24.9,-0.343032,13:24.9,0.189586,13:24.9,0.18306
13:24.9,0.094012,13:24.9,0.109547,13:24.9,0.0277412
13:24.9,0.609982,13:24.9,-0.0515425,13:24.9,-0.103052
13:24.9,1.0911,13:24.9,-0.160726,13:24.9,-0.190165
13:24.9,0.949543,13:24.9,-0.212594,13:24.9,-0.302728
13:24.9,0.529958,13:24.9,-0.259862,13:24.9,-0.295944
13:24.9,-0.106128,13:24.9,-0.292933,13:24.9,-0.144029
13:24.9,-0.716829,13:24.9,-0.217786,13:24.9,-0.00741959
13:24.9,-1.09037,13:24.9,-0.0448263,13:24.9,0.149742
13:24.9,-1.19364,13:24.9,0.0627351,13:24.9,0.353612
13:24.9,-0.997763,13:24.9,0.125318,13:24.9,0.421193
13:24.9,-0.613378,13:24.9,0.197351,13:24.9,0.408902
13:24.9,-0.0702286,13:24.9,0.257215,13:24.9,0.395403
13:24.9,0.698154,13:24.9,0.195985,13:24.9,0.229132
13:24.9,0.911738,13:24.9,0.0307226,13:24.9,0.0375414
13:24.9,0.76821,13:24.9,-0.0881267,13:24.9,-0.0488102
13:24.9,0.74957,13:24.9,-0.189785,13:24.9,-0.15246
13:24.9,0.52242,13:24.9,-0.215305,13:24.9,-0.160474
13:24.9,0.0366735,13:24.9,-0.181316,13:24.9,-0.0638115
13:24.9,-0.361749,13:24.9,-0.0985742,13:24.9,-0.00287175
13:24.9,-0.522218,13:24.9,0.0209785,13:24.9,0.161006
13:24.9,-0.388744,13:24.9,0.244335,13:24.9,0.359949
13:24.9,0.0391006,13:24.9,0.450209,13:24.9,0.335089
13:24.9,0.360759,13:24.9,0.461177,13:24.9,0.306636
13:24.9,0.390283,13:24.9,0.420171,13:24.9,0.29969
13:24.9,0.499383,13:24.9,0.365486,13:24.9,0.0539935
13:24.9,0.576131,13:24.9,0.119894,13:24.9,-0.129189
13:24.9,0.37214,13:24.9,-0.174233,13:24.9,-0.101987
13:24.9,0.153863,13:24.9,-0.281056,13:24.9,-0.217628
13:24.9,-0.148003,13:24.9,-0.371423,13:24.9,-0.317693
13:24.9,-0.240091,13:24.9,-0.442852,13:24.9,-0.149511
13:24.9,-0.206238,13:24.9,-0.335144,13:24.9,-0.0148654
13:24.9,-0.344331,13:24.9,-0.101672,13:24.9,0.117575
13:24.9,-0.0775504,13:24.9,0.0484192,13:24.9,0.384392
13:24.9,0.287722,13:24.9,0.156449,13:24.9,0.512042
13:24.9,0.469217,13:24.9,0.351739,13:24.9,0.501851
13:24.9,0.853019,13:24.9,0.386013,13:24.9,0.476922
13:24.9,0.798261,13:24.9,0.235924,13:24.9,0.289344
13:24.9,0.492425,13:24.9,0.115821,13:24.9,0.0641179
13:24.9,0.377759,13:24.9,0.0642407,13:24.9,-0.0570774
13:24.9,0.100774,13:24.9,-0.0833118,13:24.9,-0.290715
13:24.9,-0.0756991,13:24.9,-0.271903,13:24.9,-0.422674
13:24.9,-0.187681,13:24.9,-0.294992,13:24.9,-0.340534
13:24.9,-0.565051,13:24.9,-0.261331,13:24.9,-0.277352
13:24.9,-0.614773,13:24.9,-0.219034,13:24.9,-0.136817
13:24.9,-0.457549,13:24.9,-0.10704,13:24.9,0.109632
13:24.9,-0.49487,13:24.9,0.138365,13:24.9,0.203974
13:24.9,-0.430238,13:24.9,0.309139,13:24.9,0.267423
13:24.9,-0.24971,13:24.9,0.391747,13:24.9,0.276088
13:24.9,-0.300679,13:24.9,0.481658,13:24.9,0.0248456
13:24.9,-0.397693,13:24.9,0.483917,13:24.9,-0.163484
13:24.9,-0.235641,13:24.9,0.373917,13:24.9,-0.190527
13:24.9,-0.152078,13:24.9,0.232348,13:24.9,-0.389841
13:24.9,-0.0678909,13:24.9,0.0744772,13:24.9,-0.502753
13:24.9,0.236609,13:24.9,-0.0698531,13:24.9,-0.363271
13:24.9,0.422661,13:24.9,-0.105371,13:24.9,-0.240203
13:24.9,0.4303,13:24.9,-0.090338,13:24.9,-0.102322
13:24.9,0.381876,13:24.9,-0.104355,13:24.9,0.129902
13:24.9,0.262294,13:24.9,-0.0460112,13:24.9,0.290679
13:24.9,-0.0263071,13:24.9,0.120909,13:24.9,0.36109
13:24.9,-0.374761,13:24.9,0.25932,13:24.9,0.325458
13:24.9,-0.524269,13:24.9,0.318241,13:24.9,0.18208
13:24.9,-0.616988,13:24.9,0.362477,13:24.9,0.0789344
13:24.9,-0.514071,13:24.9,0.323986,13:24.9,-0.0111187
13:24.9,-0.197217,13:24.9,0.246487,13:24.9,-0.274726
13:24.9,0.0547278,13:24.9,0.194626,13:24.9,-0.416315
13:24.9,0.14356,13:24.9,0.108539,13:24.9,-0.383428
13:24.9,0.444514,13:24.9,-0.00532746,13:24.9,-0.431427
13:24.9,0.499843,13:24.9,-0.0361383,13:24.9,-0.391028
13:24.9,0.169679,13:24.9,-0.0352013,13:24.9,-0.18082
13:25.0,-0.167183,13:25.0,0.0170207,13:25.0,-0.0240803
13:25.0,-0.648983,13:25.0,0.118805,13:25.0,0.112251
13:25.0,-0.940095,13:25.0,0.209919,13:25.0,0.211713
13:25.0,-0.906054,13:25.0,0.25743,13:25.0,0.183631
13:25.0,-0.946774,13:25.0,0.320115,13:25.0,0.195498
13:25.0,-0.598227,13:25.0,0.366573,13:25.0,0.152072
13:25.0,-0.105921,13:25.0,0.313464,13:25.0,-0.0167739
13:25.0,0.366548,13:25.0,0.155418,13:25.0,-0.0880325
13:25.0,0.811795,13:25.0,0.0299203,13:25.0,-0.103937
13:25.0,1.00025,13:25.0,-0.0434077,13:25.0,-0.156991
13:25.0,0.800458,13:25.0,-0.128254,13:25.0,-0.0826478
13:25.0,0.376208,13:25.0,-0.25896,13:25.0,0.0528407
13:25.0,0.0272655,13:25.0,-0.245025,13:25.0,0.142294
13:25.0,-0.37246,13:25.0,-0.203296,13:25.0,0.298222
13:25.0,-0.748464,13:25.0,-0.193735,13:25.0,0.362654
13:25.0,-0.784286,13:25.0,-0.0900316,13:25.0,0.293428
13:25.0,-0.641649,13:25.0,0.0985825,13:25.0,0.262358
13:25.0,-0.235765,13:25.0,0.0653517,13:25.0,0.174934
13:25.0,0.291077,13:25.0,-0.0170207,13:25.0,-0.0323987
13:25.0,0.630616,13:25.0,0.0527799,13:25.0,-0.148723
13:25.0,1.0353,13:25.0,0.1151,13:25.0,-0.163664
13:25.0,1.22268,13:25.0,0.019834,13:25.0,-0.26618
13:25.0,0.759723,13:25.0,0.03057,13:25.0,-0.292232
13:25.0,0.205928,13:25.0,0.123799,13:25.0,-0.184681
13:25.0,-0.361975,13:25.0,0.097791,13:25.0,-0.128711
13:25.0,-0.838035,13:25.0,0.0663555,13:25.0,-0.0685632
13:25.0,-0.963826,13:25.0,0.174519,13:25.0,0.0226641
13:25.0,-0.933505,13:25.0,0.248439,13:25.0,0.114001
13:25.0,-0.591336,13:25.0,0.173911,13:25.0,0.166967
13:25.0,-0.0778735,13:25.0,0.0620461,13:25.0,0.121484
13:25.0,0.349902,13:25.0,0.0161731,13:25.0,0.0129342
13:25.0,0.717877,13:25.0,-0.100472,13:25.0,-0.014838
13:25.0,0.745654,13:25.0,-0.178114,13:25.0,-0.0662768
13:25.0,0.474604,13:25.0,-0.186678,13:25.0,-0.173495
13:25.0,-0.0206602,13:25.0,-0.161774,13:25.0,-0.139399
13:25.0,-0.648792,13:25.0,-0.130253,13:25.0,-0.109496
