时间 - 电压,幅值 - 电压,时间 - 电压_0,幅值 2 - 电压_0,时间 - 电压_1,幅值 3 - 电压_1
12:27.4,0.360935,12:27.4,-0.376979,12:27.4,-0.0236773
12:27.4,0.385556,12:27.4,-0.231481,12:27.4,-0.0491214
12:27.4,0.380812,12:27.4,-0.055207,12:27.4,0.0236976
12:27.4,0.342194,12:27.4,0.0874794,12:27.4,0.000280142
12:27.4,0.204622,12:27.4,0.246898,12:27.4,-0.0683486
12:27.4,-0.140017,12:27.4,0.432445,12:27.4,0.0130725
12:27.4,-0.345526,12:27.4,0.510609,12:27.4,0.115234
12:27.4,-0.259069,12:27.4,0.431529,12:27.4,0.113627
12:27.4,-0.350815,12:27.4,0.250765,12:27.4,0.0886297
12:27.4,-0.323508,12:27.4,0.0605202,12:27.4,0.0695491
12:27.4,-0.0629663,12:27.4,-0.0446916,12:27.4,-0.0278008
12:27.4,0.058428,12:27.4,-0.185984,12:27.4,-0.124779
12:27.4,0.202202,12:27.4,-0.339642,12:27.4,-0.188864
12:27.4,0.307536,12:27.4,-0.401556,12:27.4,-0.215279
12:27.4,0.295066,12:27.4,-0.291322,12:27.4,-0.17542
12:27.4,0.411326,12:27.4,-0.150721,12:27.4,-0.131062
12:27.4,0.287058,12:27.4,-0.109689,12:27.4,-0.0352621
12:27.4,-0.00727296,12:27.4,-0.0110126,12:27.4,0.123096
12:27.4,0.00649095,12:27.4,0.173892,12:27.4,0.214734
12:27.4,-0.178195,12:27.4,0.278815,12:27.4,0.146674
12:27.4,-0.359504,12:27.4,0.13165,12:27.4,0.0682724
12:27.4,-0.00599742,12:27.4,-0.0151348,12:27.4,0.0316501
12:27.4,0.170504,12:27.4,-0.0795031,12:27.4,-0.0696087
12:27.4,0.130709,12:27.4,-0.242314,12:27.4,-0.175685
12:27.4,0.402907,12:27.4,-0.416614,12:27.4,-0.204852
12:27.4,0.435861,12:27.4,-0.404078,12:27.4,-0.16384
12:27.4,0.395947,12:27.4,-0.328829,12:27.4,-0.0649524
