时间 - 电压,幅值 - 电压,时间 - 电压_0,幅值 2 - 电压_0,时间 - 电压_1,幅值 3 - 电压_1
08:59.4,0.259745,08:59.4,0.136987,08:59.4,-0.0188708
08:59.4,0.111536,08:59.4,0.308917,08:59.4,-0.0624478
08:59.4,-0.333269,08:59.4,0.432515,08:59.4,-0.0816202
08:59.4,-0.538561,08:59.4,0.348294,08:59.4,-0.173614
08:59.4,-0.395204,08:59.4,0.228082,08:59.4,-0.285532
08:59.4,-0.556974,08:59.4,0.126008,08:59.4,-0.273842
08:59.4,-0.567682,08:59.4,-0.0213575,08:59.4,-0.237103
08:59.4,-0.200315,08:59.4,-0.110312,08:59.4,-0.208676
08:59.4,-0.0441015,08:59.4,-0.0871193,08:59.4,-0.0843465
08:59.4,0.0479198,08:59.4,-0.032196,08:59.4,0.0471187
08:59.4,0.252582,08:59.4,-0.0626636,08:59.4,0.095619
08:59.4,0.242695,08:59.4,-0.0245345,08:59.4,0.172601
08:59.4,0.126476,08:59.4,0.122949,08:59.4,0.23391
08:59.4,-0.0101578,08:59.4,0.235345,08:59.4,0.184271
08:59.4,-0.0481236,08:59.4,0.207123,08:59.4,0.0799358
08:59.4,-0.228477,08:59.4,0.174047,08:59.4,-0.00782728
08:59.4,-0.324037,08:59.4,0.192825,08:59.4,-0.0724649
08:59.4,-0.227929,08:59.4,0.171618,08:59.4,-0.111781
08:59.4,-0.260072,08:59.4,0.139021,08:59.4,-0.161554
08:59.4,-0.0432706,08:59.4,0.0171626,08:59.4,-0.18185
08:59.4,0.262945,08:59.4,-0.0984228,08:59.4,-0.129451
08:59.4,0.303987,08:59.4,-0.155927,08:59.4,-0.0552511
08:59.4,0.363115,08:59.4,-0.177209,08:59.4,-0.0293827
08:59.4,0.487515,08:59.4,-0.258838,08:59.4,0.00813961
08:59.4,0.443771,08:59.4,-0.261564,08:59.4,0.0628066
08:59.4,0.15977,08:59.4,-0.168812,08:59.4,0.0735247
08:59.4,-0.110689,08:59.4,-0.117707,08:59.4,0.0830472
08:59.4,-0.221738,08:59.4,-0.0846255,08:59.4,0.0756812
08:59.4,-0.281959,08:59.4,0.0193346,08:59.4,-0.010488
08:59.4,-0.233854,08:59.4,0.10568,08:59.4,-0.0837827
08:59.4,-0.0808489,08:59.4,0.0587845,08:59.4,-0.147618
08:59.4,0.0965524,08:59.4,0.00059247,08:59.4,-0.166917
08:59.4,0.246282,08:59.4,0.0759006,08:59.4,-0.101433
08:59.4,0.348785,08:59.4,0.107574,08:59.4,-0.035634
08:59.4,0.467341,08:59.4,0.070883,08:59.4,0.000116825
08:59.4,0.468936,08:59.4,0.0743055,08:59.4,0.135193
08:59.4,0.441188,08:59.4,0.184541,08:59.4,0.278258
08:59.4,0.0564015,08:59.4,0.274552,08:59.4,0.27706
08:59.4,-0.105188,08:59.4,0.347723,08:59.4,0.269622
08:59.4,0.0666428,08:59.4,0.391154,08:59.4,0.250119
08:59.4,-0.233411,08:59.4,0.346321,08:59.4,0.144053
08:59.4,-0.309041,08:59.4,0.235118,08:59.4,0.016247
08:59.4,-0.14534,08:59.4,0.0889623,08:59.4,-0.0669813
08:59.4,-0.16633,08:59.4,-0.0166869,08:59.4,-0.155121
08:59.4,0.00281334,08:59.4,-0.168451,08:59.4,-0.210924
08:59.4,0.0467503,08:59.4,-0.31758,08:59.4,-0.245042
08:59.4,-0.0414872,08:59.4,-0.405643,08:59.4,-0.220324
08:59.4,0.107303,08:59.4,-0.390162,08:59.4,-0.0615931
08:59.4,0.0212693,08:59.4,-0.339967,08:59.4,0.023241
08:59.4,-0.308207,08:59.4,-0.318083,08:59.4,0.0498903
08:59.4,-0.260507,08:59.4,-0.242345,08:59.4,0.143787
08:59.4,-0.118731,08:59.4,-0.107533,08:59.4,0.191715
08:59.4,-0.149058,08:59.4,0.00663042,08:59.4,0.148538
08:59.4,0.0161636,08:59.4,0.0673068,08:59.4,0.1326
08:59.4,0.126191,08:59.4,0.0398338,08:59.4,0.0622809
08:59.4,0.138819,08:59.4,-0.00277042,08:59.4,-0.0427639
08:59.4,0.303829,08:59.4,0.0140059,08:59.4,-0.0993061
08:59.4,0.400425,08:59.4,0.00392675,08:59.4,-0.208424
08:59.4,0.288599,08:59.4,-0.093503,08:59.4,-0.252572
08:59.4,0.148112,08:59.4,-0.197736,08:59.4,-0.160584
08:59.4,0.202923,08:59.4,-0.203443,08:59.4,-0.110723
08:59.4,0.0266159,08:59.4,-0.176547,08:59.4,-0.0867414
08:59.4,-0.119574,08:59.4,-0.149834,08:59.4,0.0653243
08:59.4,0.0380647,08:59.4,-0.018307,08:59.4,0.134057
08:59.4,-0.143052,08:59.4,0.20829,08:59.4,0.0749028
08:59.4,-0.330111,08:59.4,0.329697,08:59.4,0.0901294
08:59.4,-0.223308,08:59.4,0.336927,08:59.4,0.0313532
08:59.4,-0.246066,08:59.4,0.383536,08:59.4,-0.114713
08:59.4,-0.338938,08:59.4,0.377544,08:59.4,-0.205598
08:59.4,-0.145813,08:59.4,0.200521,08:59.4,-0.309839
08:59.4,-0.0818765,08:59.4,0.0693667,08:59.4,-0.372123
08:59.4,0.0570011,08:59.4,0.0689816,08:59.4,-0.338218
08:59.4,0.420834,08:59.4,-0.0390792,08:59.4,-0.281003
08:59.4,0.362384,08:59.4,-0.20066,08:59.4,-0.0883508
08:59.4,0.270149,08:59.4,-0.150508,08:59.4,0.221198
08:59.4,0.517999,08:59.4,-0.00488639,08:59.4,0.36466
08:59.4,0.530932,08:59.4,-0.0045073,08:59.4,0.409698
08:59.4,0.523554,08:59.4,-0.0162435,08:59.4,0.476702
08:59.4,0.393848,08:59.4,0.075134,08:59.4,0.303961
08:59.4,0.14963,08:59.4,0.123601,08:59.4,0.0328183
08:59.4,-0.00240088,08:59.4,0.0724649,08:59.4,-0.0961256
08:59.4,-0.293391,08:59.4,0.0358903,08:59.4,-0.291535
08:59.4,-0.537522,08:59.4,0.0357652,08:59.4,-0.437763
08:59.4,-0.568837,08:59.4,-0.0185502,08:59.4,-0.310328
08:59.4,-0.550473,08:59.4,-0.072813,08:59.4,-0.167352
08:59.4,-0.411645,08:59.4,-0.0575995,08:59.4,-0.00512838
08:59.4,-0.301139,08:59.4,-0.0973427,08:59.4,0.300542
08:59.4,-0.162927,08:59.4,-0.162309,08:59.4,0.488528
08:59.4,0.298129,08:59.4,-0.168135,08:59.4,0.508223
08:59.4,0.456922,08:59.4,-0.123211,08:59.4,0.460997
08:59.4,0.299708,08:59.4,-0.0937808,08:59.4,0.245073
08:59.4,0.331907,08:59.4,-0.06253,08:59.4,-0.0167179
08:59.4,0.0476158,08:59.4,-0.056814,08:59.4,-0.198429
08:59.4,-0.358657,08:59.4,-0.0968337,08:59.4,-0.349827
08:59.4,-0.398321,08:59.4,-0.0748372,08:59.4,-0.374657
08:59.4,-0.459204,08:59.4,-0.0524175,08:59.4,-0.225145
08:59.4,-0.387729,08:59.4,-0.0760341,08:59.4,-0.0942361
08:59.4,-0.355301,08:59.4,-0.0988948,08:59.4,0.0459266
08:59.4,-0.222254,08:59.4,-0.0250471,08:59.4,0.258074
08:59.4,0.113434,08:59.4,0.043962,08:59.4,0.327474
08:59.4,0.256292,08:59.4,0.0430155,08:59.4,0.314401
08:59.4,0.198462,08:59.4,0.0812984,08:59.4,0.300454
08:59.4,0.0485682,08:59.4,0.132443,08:59.4,0.100805
08:59.4,0.0944352,08:59.4,0.0781763,08:59.4,-0.16302
08:59.4,-0.028199,08:59.4,-0.0846052,08:59.4,-0.284058
08:59.4,-0.370766,08:59.4,-0.0696552,08:59.4,-0.366011
08:59.4,-0.152918,08:59.4,-0.0742757,08:59.4,-0.395429
08:59.4,-0.0223827,08:59.4,-0.188869,08:59.4,-0.215871
08:59.4,0.0137782,08:59.4,-0.249332,08:59.4,0.0125587
08:59.4,0.467148,08:59.4,-0.16529,08:59.4,0.163805
08:59.4,0.661099,08:59.4,-0.136458,08:59.4,0.349838
08:59.4,0.732402,08:59.4,-0.167599,08:59.4,0.467762
08:59.4,0.837548,08:59.4,-0.100896,08:59.4,0.442184
08:59.4,0.574903,08:59.4,-0.0405574,08:59.4,0.355704
08:59.4,0.251029,08:59.4,-0.0681651,08:59.4,0.155498
08:59.4,-0.0145829,08:59.4,-0.120192,08:59.4,-0.122684
08:59.4,-0.354669,08:59.4,-0.116366,08:59.4,-0.343504
08:59.4,-0.656835,08:59.4,-0.128883,08:59.4,-0.49684
08:59.4,-0.57425,08:59.4,-0.158815,08:59.4,-0.545456
08:59.4,-0.420243,08:59.4,-0.194356,08:59.4,-0.431019
08:59.4,-0.323875,08:59.4,-0.168602,08:59.4,-0.210429
08:59.4,0.11853,08:59.4,-0.095861,08:59.4,0.0631464
08:59.4,0.378736,08:59.4,-0.0827062,08:59.4,0.369484
08:59.4,0.416216,08:59.4,-0.066011,08:59.4,0.564088
08:59.4,0.438268,08:59.4,-0.0209177,08:59.4,0.537785
08:59.4,0.236768,08:59.4,0.0192022,08:59.4,0.436962
08:59.4,0.0130594,08:59.4,0.0181222,08:59.4,0.317007
08:59.4,-0.221223,08:59.4,-0.0526333,08:59.4,0.137933
08:59.4,-0.482786,08:59.4,-0.107945,08:59.4,-0.0644481
