时间 - 电压,幅值 - 电压,时间 - 电压_0,幅值 2 - 电压_0,时间 - 电压_1,幅值 3 - 电压_1
11:47.4,0.405436,11:47.4,-0.0804758,11:47.4,-0.0917184
11:47.4,0.219309,11:47.4,-0.0910783,11:47.4,0.279958
11:47.4,0.19061,11:47.4,0.0347805,11:47.4,0.478184
11:47.4,0.066334,11:47.4,0.140598,11:47.4,0.520332
11:47.4,-0.267893,11:47.4,0.148495,11:47.4,0.43569
11:47.4,-0.122732,11:47.4,0.151726,11:47.4,0.129062
11:47.4,0.0647533,11:47.4,0.223588,11:47.4,-0.246977
11:47.4,-0.145236,11:47.4,0.175033,11:47.4,-0.491608
11:47.4,0.0358582,11:47.4,0.100198,11:47.4,-0.688938
11:47.4,0.0830877,11:47.4,0.0407457,11:47.4,-0.720928
11:47.4,-0.184186,11:47.4,-0.0200438,11:47.4,-0.489717
11:47.4,-0.0158882,11:47.4,-0.0876081,11:47.4,-0.25219
11:47.4,-0.111485,11:47.4,0.0178838,11:47.4,-0.0453353
11:47.4,-0.236937,11:47.4,0.168314,11:47.4,0.219302
11:47.4,0.0968325,11:47.4,0.194119,11:47.4,0.259444
11:47.4,0.0325084,11:47.4,0.209923,11:47.4,0.162991
11:47.4,-0.177904,11:47.4,0.315273,11:47.4,0.052551
11:47.4,-0.057205,11:47.4,0.283899,11:47.4,-0.222231
11:47.4,-0.176607,11:47.4,0.116389,11:47.4,-0.504889
11:47.4,-0.0956857,11:47.4,-0.00201583,11:47.4,-0.509189
11:47.4,0.113844,11:47.4,-0.0427914,11:47.4,-0.446062
11:47.4,-0.10671,11:47.4,-0.228983,11:47.4,-0.383041
11:47.4,-0.180981,11:47.4,-0.399665,11:47.4,-0.0589347
11:47.4,-0.179073,11:47.4,-0.423681,11:47.4,0.276246
11:47.4,-0.0505567,11:47.4,-0.36688,11:47.4,0.471566
11:47.4,0.0536942,11:47.4,-0.322866,11:47.4,0.647244
11:47.4,-0.00908732,11:47.4,-0.19502,11:47.4,0.624067
11:47.4,0.280073,11:47.4,-0.0907087,11:47.4,0.40678
11:47.4,0.447402,11:47.4,-0.0389874,11:47.4,0.22342
11:47.4,0.202564,11:47.4,0.0375891,11:47.4,-0.0341356
11:47.4,0.0803459,11:47.4,0.120534,11:47.4,-0.356134
11:47.4,0.047071,11:47.4,0.123655,11:47.4,-0.45887
11:47.4,-0.183916,11:47.4,0.101535,11:47.4,-0.450007
11:47.4,-0.348672,11:47.4,0.0613654,11:47.4,-0.342641
11:47.4,-0.456178,11:47.4,-0.0917912,11:47.4,-0.0291216
11:47.4,-0.732365,11:47.4,-0.221461,11:47.4,0.240618
11:47.4,-0.724783,11:47.4,-0.244014,11:47.4,0.343251
11:47.4,-0.537641,11:47.4,-0.285408,11:47.4,0.451113
11:47.4,-0.576601,11:47.4,-0.305068,11:47.4,0.422437
11:47.4,-0.371543,11:47.4,-0.204159,11:47.4,0.156647
11:47.4,0.0349534,11:47.4,-0.000396967,11:47.4,-0.10987
11:47.4,0.294776,11:47.4,0.175098,11:47.4,-0.396967
11:47.4,0.337605,11:47.4,0.266844,11:47.4,-0.699612
