时间 - 电压,幅值 - 电压,时间 - 电压_0,幅值 2 - 电压_0,时间 - 电压_1,幅值 3 - 电压_1
13:13.7,-0.0092268,13:13.7,-0.0415826,13:13.7,0.141301
13:13.7,-0.226285,13:13.7,-0.237205,13:13.7,0.180469
13:13.7,-0.217252,13:13.7,-0.470181,13:13.7,0.168571
13:13.7,-0.236378,13:13.7,-0.615327,13:13.7,-0.0269198
13:13.7,-0.138704,13:13.7,-0.59122,13:13.7,-0.193342
13:13.7,0.144906,13:13.7,-0.476966,13:13.7,-0.231004
13:13.7,0.161196,13:13.7,-0.298154,13:13.7,-0.241641
13:13.7,0.0430489,13:13.7,-0.0934041,13:13.7,-0.215201
13:13.7,-0.0183761,13:13.7,0.129056,13:13.7,-0.0935698
13:13.7,-0.141168,13:13.7,0.309626,13:13.7,0.0407445
13:13.7,-0.189195,13:13.7,0.415323,13:13.7,0.175017
13:13.7,-0.246155,13:13.7,0.361594,13:13.7,0.251281
13:13.7,-0.422857,13:13.7,0.20703,13:13.7,0.208954
13:13.7,-0.386206,13:13.7,0.0184929,13:13.7,0.137452
13:13.7,-0.0877345,13:13.7,-0.191131,13:13.7,0.0916088
13:13.7,0.229776,13:13.7,-0.383805,13:13.7,0.0613177
13:13.7,0.45763,13:13.7,-0.483693,13:13.7,-0.0329196
13:13.7,0.59311,13:13.7,-0.509279,13:13.7,-0.0774717
13:13.7,0.451256,13:13.7,-0.44821,13:13.7,-0.0412858
13:13.7,0.127521,13:13.7,-0.278981,13:13.7,0.0191486
13:13.7,-0.181432,13:13.7,-0.0251389,13:13.7,0.105968
13:13.7,-0.615164,13:13.7,0.211976,13:13.7,0.171553
13:13.7,-0.897326,13:13.7,0.35779,13:13.7,0.167751
13:13.7,-0.848752,13:13.7,0.405262,13:13.7,0.100504
13:13.7,-0.737778,13:13.7,0.44058,13:13.7,0.010457
13:13.7,-0.308033,13:13.7,0.380918,13:13.7,-0.101817
13:13.7,0.337688,13:13.7,0.146197,13:13.7,-0.254893
13:13.7,0.950857,13:13.7,-0.155904,13:13.7,-0.437707
13:13.7,1.27303,13:13.7,-0.260067,13:13.7,-0.470142
13:13.7,1.30368,13:13.7,-0.271082,13:13.7,-0.37496
13:13.7,1.02082,13:13.7,-0.317048,13:13.7,-0.288695
13:13.7,0.359821,13:13.7,-0.338169,13:13.7,-0.1432
13:13.7,-0.37087,13:13.7,-0.181308,13:13.7,0.076257
13:13.7,-1.07614,13:13.7,0.0335121,13:13.7,0.240854
13:13.7,-1.48256,13:13.7,0.121669,13:13.7,0.266623
13:13.7,-1.39817,13:13.7,0.190181,13:13.7,0.261956
13:13.7,-1.05532,13:13.7,0.272014,13:13.7,0.166997
13:13.7,-0.604868,13:13.7,0.18481,13:13.7,-0.0944591
13:13.7,0.27144,13:13.7,-0.00899076,13:13.7,-0.313641
13:13.7,1.09504,13:13.7,-0.139545,13:13.7,-0.411137
13:13.7,1.40011,13:13.7,-0.200319,13:13.7,-0.480148
