时间 - 电压,幅值 - 电压,时间 - 电压_0,幅值 2 - 电压_0,时间 - 电压_1,幅值 3 - 电压_1
12:16.3,0.29004,12:16.3,0.0987518,12:16.3,0.266713
12:16.3,0.355186,12:16.3,0.026207,12:16.3,0.328197
12:16.3,0.0717664,12:16.3,0.133611,12:16.3,0.256059
12:16.3,0.164225,12:16.3,0.250567,12:16.3,0.0809801
12:16.3,0.19731,12:16.3,0.268424,12:16.3,-0.0153148
12:16.3,-0.122856,12:16.3,0.266924,12:16.3,-0.190932
12:16.3,-0.102195,12:16.3,0.278543,12:16.3,-0.255563
12:16.3,-0.139629,12:16.3,0.169783,12:16.3,-0.161145
12:16.3,-0.274262,12:16.3,0.0798869,12:16.3,-0.149407
12:16.3,-0.306174,12:16.3,0.0520194,12:16.3,-0.076592
12:16.3,-0.313458,12:16.3,-0.00350356,12:16.3,0.115047
12:16.3,-0.221541,12:16.3,-0.0741792,12:16.3,0.165887
12:16.3,-0.0629616,12:16.3,-0.0604117,12:16.3,0.137395
12:16.3,0.0189829,12:16.3,-0.0529373,12:16.3,0.212941
12:16.3,-0.0321174,12:16.3,-0.0650108,12:16.3,0.129471
12:16.3,0.172446,12:16.3,-0.0365579,12:16.3,-0.00889301
12:16.3,0.443388,12:16.3,0.000175238,12:16.3,-0.0425184
12:16.3,0.458087,12:16.3,-0.0762117,12:16.3,-0.131731
12:16.3,0.604531,12:16.3,-0.210617,12:16.3,-0.214236
12:16.3,0.582296,12:16.3,-0.256548,12:16.3,-0.214051
12:16.3,0.386956,12:16.3,-0.282099,12:16.3,-0.190673
12:16.3,0.299728,12:16.3,-0.298483,12:16.3,-0.202628
12:16.3,0.143565,12:16.3,-0.213333,12:16.3,-0.143871
12:16.3,-0.0749254,12:16.3,-0.0701976,12:16.3,-0.156337
12:16.3,-0.126566,12:16.3,-0.0464761,12:16.3,-0.227644
12:16.3,-0.024966,12:16.3,-0.0593436,12:16.3,-0.180347
12:16.3,-0.067445,12:16.3,0.0609589,12:16.3,-0.106355
12:16.3,-0.207313,12:16.3,0.0531387,12:16.3,-0.0586617
12:16.3,-0.12189,12:16.3,-0.117975,12:16.3,-0.0632215
12:16.3,-0.0394881,12:16.3,-0.13025,12:16.3,-0.0554109
12:16.3,-0.0375807,12:16.3,0.013262,12:16.3,-0.0324452
12:16.3,0.0960755,12:16.3,-0.0509048,12:16.3,-0.0344503
12:16.3,0.0595498,12:16.3,-0.217981,12:16.3,-0.112987
12:16.3,0.0988019,12:16.3,-0.0998878,12:16.3,-0.16989
12:16.3,0.223298,12:16.3,0.0855184,12:16.3,-0.141832
12:16.3,0.227214,12:16.3,0.0951886,12:16.3,-0.141094
12:16.3,0.372641,12:16.3,0.0346649,12:16.3,-0.103799
12:16.3,0.206101,12:16.3,0.10988,12:16.3,0.00864625
12:16.3,0.087049,12:16.3,0.0567436,12:16.3,0.129076
12:16.3,0.109497,12:16.3,-0.0761747,12:16.3,0.193866
12:16.3,-0.0817883,12:16.3,-0.0564301,12:16.3,0.272323
12:16.3,-0.0563335,12:16.3,-0.0399685,12:16.3,0.341934
12:16.3,-0.124928,12:16.3,-0.154127,12:16.3,0.319921
12:16.3,-0.257814,12:16.3,-0.22212,12:16.3,0.232295
12:16.3,-0.056622,12:16.3,-0.141044,12:16.3,0.120101
12:16.3,-0.0305402,12:16.3,-0.126197,12:16.3,0.0138879
12:16.3,-0.045352,12:16.3,-0.12859,12:16.3,-0.0942707
12:16.3,0.18248,12:16.3,-0.00511527,12:16.3,-0.171703
12:16.3,0.19706,12:16.3,0.0470841,12:16.3,-0.203958
12:16.3,0.350938,12:16.3,0.0458992,12:16.3,-0.124898
12:16.3,0.376464,12:16.3,0.0689983,12:16.3,-0.0174117
12:16.3,0.164186,12:16.3,0.0845361,12:16.3,0.0393915
12:16.3,0.189613,12:16.3,-0.0039196,12:16.3,0.143944
12:16.3,0.0119352,12:16.3,0.022496,12:16.3,0.26897
12:16.3,-0.143682,12:16.3,0.0874424,12:16.3,0.28951
12:16.3,0.0158763,12:16.3,-0.0372481,12:16.3,0.214936
12:16.3,-0.22046,12:16.3,-0.157728,12:16.3,0.14967
12:16.3,-0.182048,12:16.3,-0.0536811,12:16.3,0.0478446
12:16.3,0.250854,12:16.3,0.0632691,12:16.3,-0.0317383
12:16.3,0.0886071,12:16.3,-0.0492823,12:16.3,-0.0666904
12:16.3,0.0719929,12:16.3,-0.0579989,12:16.3,-0.0685287
12:16.3,0.21732,12:16.3,0.0620878,12:16.3,0.00573993
12:16.3,0.0300562,12:16.3,0.033201,12:16.3,0.0544882
12:16.3,0.115584,12:16.3,-0.103796,12:16.3,0.0895202
12:16.3,-0.0798035,12:16.3,-0.0374651,12:16.3,0.1512
12:16.3,-0.363485,12:16.3,0.0847864,12:16.3,0.173361
12:16.3,-0.16156,12:16.3,0.00646353,12:16.3,0.122645
12:16.3,-0.04017,12:16.3,-0.0571287,12:16.3,0.0722098
12:16.3,-0.00478625,12:16.3,-0.0734591,12:16.3,0.0405049
12:16.3,0.109525,12:16.3,-0.10349,12:16.3,-0.0100195
12:16.3,0.166441,12:16.3,-0.196401,12:16.3,0.000867844
12:16.3,0.385653,12:16.3,-0.218087,12:16.3,0.0328422
12:16.3,0.373166,12:16.3,-0.167296,12:16.3,0.0481963
12:16.3,-0.0606084,12:16.3,-0.128605,12:16.3,0.0874865
12:16.3,-0.337371,12:16.3,-0.0458002,12:16.3,0.140444
12:16.3,-0.574899,12:16.3,0.0152445,12:16.3,0.147333
12:16.3,-0.87576,12:16.3,0.075016,12:16.3,0.124409
12:16.3,-0.733198,12:16.3,0.0182593,12:16.3,0.130986
12:16.3,-0.437123,12:16.3,0.00759125,12:16.3,0.168532
12:16.3,-0.12511,12:16.3,-0.033251,12:16.3,0.186712
12:16.3,0.376726,12:16.3,-0.126007,12:16.3,0.140569
12:16.3,0.563289,12:16.3,-0.210559,12:16.3,0.0802267
12:16.3,0.511929,12:16.3,-0.277736,12:16.3,-0.0173628
12:16.3,0.503925,12:16.3,-0.266385,12:16.3,-0.12398
12:16.3,0.105003,12:16.3,-0.173455,12:16.3,-0.179906
12:16.3,-0.454655,12:16.3,0.0284481,12:16.3,-0.197138
12:16.3,-0.589554,12:16.3,0.0904942,12:16.3,-0.250007
12:16.3,-0.527086,12:16.3,0.0831318,12:16.3,-0.204068
12:16.3,-0.448036,12:16.3,0.166402,12:16.3,0.0139427
12:16.3,-0.0866508,12:16.3,0.176247,12:16.3,0.171611
12:16.3,0.428606,12:16.3,0.043937,12:16.3,0.30862
12:16.3,0.704232,12:16.3,-0.135251,12:16.3,0.4368
12:16.3,0.658208,12:16.3,-0.138597,12:16.3,0.40849
12:16.3,0.470865,12:16.3,-0.17131,12:16.3,0.275351
12:16.3,0.128547,12:16.3,-0.226415,12:16.3,0.0929856
12:16.3,-0.206853,12:16.3,-0.222083,12:16.3,-0.16929
12:16.3,-0.463011,12:16.3,-0.08183,12:16.3,-0.40687
12:16.3,-0.847896,12:16.3,0.0102544,12:16.3,-0.523697
12:16.3,-0.919282,12:16.3,0.0438321,12:16.3,-0.576693
12:16.3,-0.748835,12:16.3,0.15063,12:16.3,-0.448743
12:16.3,-0.431315,12:16.3,0.271569,12:16.3,-0.20497
12:16.3,0.0144386,12:16.3,0.293427,12:16.3,-0.0602591
12:16.4,0.329585,12:16.4,0.232656,12:16.4,0.0981855
12:16.4,0.489752,12:16.4,0.191659,12:16.4,0.291573
12:16.4,0.436808,12:16.4,0.162408,12:16.4,0.302874
12:16.4,0.156817,12:16.4,0.0771022,12:16.4,0.237068
12:16.4,0.155822,12:16.4,-0.0332642,12:16.4,0.106909
12:16.4,-0.0268674,12:16.4,-0.0790775,12:16.4,-0.16301
12:16.4,-0.524311,12:16.4,-0.0322449,12:16.4,-0.302422
12:16.4,-0.55758,12:16.4,-0.0761509,12:16.4,-0.269736
12:16.4,-0.412198,12:16.4,-0.100197,12:16.4,-0.293599
12:16.4,-0.195322,12:16.4,-0.0722122,12:16.4,-0.211574
12:16.4,-0.00587463,12:16.4,0.0142193,12:16.4,-0.0254381
12:16.4,0.0830758,12:16.4,-0.0307369,12:16.4,0.00530601
12:16.4,0.384786,12:16.4,-0.0775182,12:16.4,0.115906
12:16.4,0.631193,12:16.4,-0.0786018,12:16.4,0.29899
12:16.4,0.629686,12:16.4,-0.0767529,12:16.4,0.208089
12:16.4,0.46982,12:16.4,-0.105855,12:16.4,0.0663567
12:16.4,0.283376,12:16.4,-0.13936,12:16.4,0.0554001
12:16.4,-0.0177574,12:16.4,-0.0795209,12:16.4,-0.008986
12:16.4,-0.298696,12:16.4,-0.0139296,12:16.4,-0.0679672
12:16.4,-0.445763,12:16.4,-7.87E-05,12:16.4,-0.123879
12:16.4,-0.616313,12:16.4,0.0412965,12:16.4,-0.244796
12:16.4,-0.384318,12:16.4,0.0841546,12:16.4,-0.132716
12:16.4,0.0584078,12:16.4,0.103387,12:16.4,0.0434852
12:16.4,0.221981,12:16.4,0.0755548,12:16.4,-0.0357294
12:16.4,0.289626,12:16.4,0.0941324,12:16.4,-0.0442111
12:16.4,0.396565,12:16.4,0.0793254,12:16.4,0.0384831
12:16.4,0.31731,12:16.4,0.04143,12:16.4,-0.0457942
12:16.4,0.181471,12:16.4,-0.0187039,12:16.4,-0.0155866
12:16.4,-0.12785,12:16.4,-0.0422454,12:16.4,0.0975955
12:16.4,-0.46936,12:16.4,-0.0464642,12:16.4,-0.0296962
12:16.4,-0.315582,12:16.4,-0.0319839,12:16.4,-0.0809848
12:16.4,-0.12549,12:16.4,0.03389,12:16.4,-0.0342035
12:16.4,-0.242364,12:16.4,0.0955844,12:16.4,-0.120912
12:16.4,-0.0630891,12:16.4,0.158088,12:16.4,-0.136507
12:16.4,0.123206,12:16.4,0.254055,12:16.4,-0.08394
12:16.4,0.114225,12:16.4,0.365058,12:16.4,-0.159525
12:16.4,0.163432,12:16.4,0.334721,12:16.4,-0.0967228
12:16.4,0.0678563,12:16.4,0.20183,12:16.4,0.0187361
12:16.4,0.122879,12:16.4,0.071131,12:16.4,-0.0687611
12:16.4,0.130428,12:16.4,-0.0844598,12:16.4,-0.0303292
12:16.4,-0.0348103,12:16.4,-0.238254,12:16.4,0.0817919
12:16.4,-0.123271,12:16.4,-0.339447,12:16.4,0.0558567
12:16.4,-0.269563,12:16.4,-0.369961,12:16.4,0.0946498
12:16.4,-0.437255,12:16.4,-0.42243,12:16.4,0.110825
12:16.4,-0.408072,12:16.4,-0.301695,12:16.4,-0.0192702
12:16.4,-0.156889,12:16.4,-0.0552797,12:16.4,-0.0300539
12:16.4,-0.0589919,12:16.4,0.1705,12:16.4,-0.0456429
12:16.4,0.0714397,12:16.4,0.330522,12:16.4,-0.211867
12:16.4,0.358348,12:16.4,0.429168,12:16.4,-0.159578
12:16.4,0.490484,12:16.4,0.436592,12:16.4,-0.0972724
12:16.4,0.626528,12:16.4,0.330366,12:16.4,-0.204135
12:16.4,0.475829,12:16.4,0.151449,12:16.4,-0.174341
