时间 - 电压,幅值 - 电压,时间 - 电压_0,幅值 2 - 电压_0,时间 - 电压_1,幅值 3 - 电压_1
12:04.8,0.185596,12:04.8,-0.0407422,12:04.8,-0.100896
12:04.8,0.117576,12:04.8,-0.0295067,12:04.8,-0.141964
12:04.8,0.248872,12:04.8,-0.0511849,12:04.8,-0.122261
12:04.8,0.291485,12:04.8,0.0270832,12:04.8,-0.0621867
12:04.8,0.250254,12:04.8,0.146263,12:04.8,-0.0867379
12:04.8,0.377783,12:04.8,0.11905,12:04.8,-0.0703132
12:04.8,0.222404,12:04.8,0.122211,12:04.8,0.0195479
12:04.8,0.112572,12:04.8,0.228475,12:04.8,0.00634313
12:04.8,-0.00914097,12:04.8,0.27938,12:04.8,0.0540459
12:04.8,-0.154238,12:04.8,0.172961,12:04.8,0.187025
12:04.8,-0.142679,12:04.8,0.138289,12:04.8,0.1274
12:04.8,0.0274682,12:04.8,0.138333,12:04.8,0.0620317
12:04.8,-0.00612497,12:04.8,0.012573,12:04.8,0.11179
12:04.8,-0.0556064,12:04.8,-0.109028,12:04.8,-0.0394905
12:04.8,0.0860167,12:04.8,-0.0650656,12:04.8,-0.253927
12:04.8,0.0015986,12:04.8,0.0166881,12:04.8,-0.227516
12:04.8,-0.251851,12:04.8,0.0197446,12:04.8,-0.247754
12:04.8,-0.32091,12:04.8,0.0403154,12:04.8,-0.348982
12:04.8,-0.438645,12:04.8,0.14105,12:04.8,-0.251857
12:04.8,-0.441415,12:04.8,0.204079,12:04.8,-0.0800669
12:04.8,-0.0830626,12:04.8,0.224119,12:04.8,0.0715733
12:04.9,0.070349,12:04.9,0.204015,12:04.9,0.231003
12:04.9,0.218304,12:04.9,0.19071,12:04.9,0.253087
12:04.9,0.58683,12:04.9,0.0846529,12:04.9,0.225345
12:04.9,0.595568,12:04.9,-0.00827074,12:04.9,0.171506
12:04.9,0.605277,12:04.9,-0.0523543,12:04.9,-0.0568056
12:04.9,0.605211,12:04.9,-0.0463247,12:04.9,-0.20918
12:04.9,0.349528,12:04.9,-0.0101256,12:04.9,-0.245663
