时间 - 电压,幅值 - 电压,时间 - 电压_0,幅值 2 - 电压_0,时间 - 电压_1,幅值 3 - 电压_1
08:36.5,0.162454,08:36.5,-0.0714791,08:36.5,-0.542709
08:36.5,0.120349,08:36.5,-0.119544,08:36.5,-0.632946
08:36.5,0.219247,08:36.5,-0.0192535,08:36.5,-0.57651
08:36.5,0.0203764,08:36.5,0.0361359,08:36.5,-0.373855
08:36.5,0.020268,08:36.5,-0.0415957,08:36.5,-0.117887
08:36.5,0.0928771,08:36.5,-0.0363708,08:36.5,0.0678933
08:36.5,0.121099,08:36.5,0.045805,08:36.5,0.246207
08:36.5,0.383044,08:36.5,0.0368452,08:36.5,0.330535
08:36.5,0.597258,08:36.5,0.0366735,08:36.5,0.22489
08:36.5,0.507767,08:36.5,0.185819,08:36.5,0.0376916
08:36.5,0.310228,08:36.5,0.260825,08:36.5,-0.230565
08:36.5,0.422177,08:36.5,0.168475,08:36.5,-0.538576
08:36.5,0.192162,08:36.5,0.108808,08:36.5,-0.647155
08:36.5,-0.277976,08:36.5,0.125117,08:36.5,-0.604671
08:36.5,-0.470189,08:36.5,0.0484717,08:36.5,-0.543659
08:36.5,-0.698476,08:36.5,-0.0615752,08:36.5,-0.303413
08:36.5,-0.730798,08:36.5,-0.0629413,08:36.5,0.0496948
08:36.5,-0.38409,08:36.5,-0.0871623,08:36.5,0.286202
08:36.5,-0.0524056,08:36.5,-0.23474,08:36.5,0.469754
08:36.5,0.420251,08:36.5,-0.312073,08:36.5,0.592749
08:36.5,0.644561,08:36.5,-0.182557,08:36.5,0.524719
08:36.5,0.629802,08:36.5,-0.119044,08:36.5,0.380461
08:36.5,0.571244,08:36.5,-0.0948298,08:36.5,0.173457
08:36.5,0.197992,08:36.5,0.00879049,08:36.5,-0.0568593
08:36.5,-0.185965,08:36.5,0.120323,08:36.5,-0.159967
08:36.5,-0.30612,08:36.5,0.129229,08:36.5,-0.260587
08:36.5,-0.384762,08:36.5,0.156695,08:36.5,-0.331943
08:36.5,-0.389751,08:36.5,0.248104,08:36.5,-0.218366
08:36.5,-0.0174201,08:36.5,0.221399,08:36.5,-0.10407
08:36.5,0.331818,08:36.5,0.152496,08:36.5,-0.0770235
08:36.5,0.514232,08:36.5,0.114532,08:36.5,0.0960267
08:36.5,0.690265,08:36.5,0.0247681,08:36.5,0.260588
08:36.5,0.444723,08:36.5,-0.157986,08:36.5,0.233926
08:36.5,-0.00633359,08:36.5,-0.170606,08:36.5,0.26173
08:36.5,-0.432259,08:36.5,-0.0321996,08:36.5,0.327396
08:36.5,-0.982344,08:36.5,0.0141716,08:36.5,0.206248
08:36.5,-1.24428,08:36.5,9.66E-05,08:36.5,0.0540948
08:36.5,-1.1252,08:36.5,0.112425,08:36.5,-0.030812
08:36.5,-0.712252,08:36.5,0.224011,08:36.5,-0.130012
08:36.5,-0.134541,08:36.5,0.223612,08:36.5,-0.182966
