时间 - 电压,幅值 - 电压,时间 - 电压_0,幅值 2 - 电压_0,时间 - 电压_1,幅值 3 - 电压_1
12:21.7,-0.0630605,12:21.7,-0.485326,12:21.7,-0.204275
12:21.7,-0.452002,12:21.7,-0.345975,12:21.7,-0.145746
12:21.7,-0.645639,12:21.7,-0.0597537,12:21.7,-0.0736701
12:21.7,-0.337311,12:21.7,0.0970542,12:21.7,0.0178027
12:21.7,-0.283158,12:21.7,0.155276,12:21.7,0.130652
12:21.7,-0.208457,12:21.7,0.21897,12:21.7,0.108482
12:21.7,0.0966883,12:21.7,0.167273,12:21.7,0.0705051
12:21.7,0.0993407,12:21.7,-0.00925183,12:21.7,0.0916195
12:21.7,0.189397,12:21.7,-0.180002,12:21.7,-0.0493538
12:21.7,0.312141,12:21.7,-0.243189,12:21.7,-0.19063
12:21.7,-0.00329375,12:21.7,-0.395093,12:21.7,-0.205548
12:21.7,-0.313256,12:21.7,-0.454502,12:21.7,-0.254763
12:21.7,-0.237283,12:21.7,-0.306766,12:21.7,-0.26389
12:21.7,-0.297258,12:21.7,-0.123318,12:21.7,-0.108782
12:21.7,-0.500263,12:21.7,0.0155854,12:21.7,-0.0184488
12:21.7,-0.265692,12:21.7,0.274991,12:21.7,0.0619876
12:21.7,0.129347,12:21.7,0.482208,12:21.7,0.261711
12:21.7,0.330179,12:21.7,0.51284,12:21.7,0.317066
12:21.7,0.623311,12:21.7,0.508114,12:21.7,0.24702
12:21.7,0.604227,12:21.7,0.498232,12:21.7,0.236838
12:21.7,0.33794,12:21.7,0.312818,12:21.7,0.154815
12:21.7,0.266879,12:21.7,0.0414443,12:21.7,-0.00824809
12:21.7,0.0294137,12:21.7,-0.143859,12:21.7,-0.0780964
12:21.7,-0.327011,12:21.7,-0.290914,12:21.7,-0.146319
12:21.7,-0.571771,12:21.7,-0.513092,12:21.7,-0.167499
12:21.7,-0.48642,12:21.7,-0.534707,12:21.7,-0.0607765
12:21.8,-0.172665,12:21.8,-0.367726,12:21.8,0.0160575
12:21.8,-0.131963,12:21.8,-0.208546,12:21.8,0.0927365
12:21.8,-0.0338328,12:21.8,-0.120299,12:21.8,0.170341
12:21.8,0.18162,12:21.8,0.145354,12:21.8,0.118598
12:21.8,0.251138,12:21.8,0.401875,12:21.8,0.0483346
12:21.8,0.223476,12:21.8,0.429728,12:21.8,0.0850332
12:21.8,0.106789,12:21.8,0.31708,12:21.8,0.0179756
12:21.8,0.00139952,12:21.8,0.301048,12:21.8,-0.126407
12:21.8,0.0719106,12:21.8,0.188669,12:21.8,-0.109997
12:21.8,0.0457656,12:21.8,-0.0305963,12:21.8,-0.0501382
12:21.8,-0.157535,12:21.8,-0.153712,12:21.8,-0.000361204
12:21.8,-0.172445,12:21.8,-0.174829,12:21.8,0.114511
12:21.8,-0.211271,12:21.8,-0.184561,12:21.8,0.199587
12:21.8,-0.231915,12:21.8,-0.134653,12:21.8,0.221484
12:21.8,-0.119818,12:21.8,-0.0281346,12:21.8,0.158421
12:21.8,-0.122253,12:21.8,0.0547409,12:21.8,0.0191379
12:21.8,-0.119591,12:21.8,0.0954461,12:21.8,-0.111362
12:21.8,0.116904,12:21.8,0.170014,12:21.8,-0.203124
12:21.8,0.415722,12:21.8,0.188802,12:21.8,-0.338012
12:21.8,0.49566,12:21.8,0.1299,12:21.8,-0.371169
12:21.8,0.553094,12:21.8,0.0659108,12:21.8,-0.262709
12:21.8,0.398222,12:21.8,0.0365973,12:21.8,-0.157888
12:21.8,0.0951731,12:21.8,-0.0464427,12:21.8,0.000522137
12:21.8,0.0610089,12:21.8,-0.0988805,12:21.8,0.224675
12:21.8,0.0627732,12:21.8,-0.0991881,12:21.8,0.360857
12:21.8,-0.350267,12:21.8,-0.162742,12:21.8,0.37021
12:21.8,-0.354551,12:21.8,-0.228705,12:21.8,0.366094
12:21.8,0.00153542,12:21.8,-0.161613,12:21.8,0.310559
12:21.8,0.0764024,12:21.8,-0.0610709,12:21.8,0.113435
12:21.8,0.140704,12:21.8,-0.100526,12:21.8,-0.0692296
12:21.8,0.326232,12:21.8,-0.0999272,12:21.8,-0.170381
12:21.8,0.382112,12:21.8,0.0223482,12:21.8,-0.215738
12:21.8,0.358467,12:21.8,0.0861537,12:21.8,-0.229342
12:21.8,0.38587,12:21.8,0.0433564,12:21.8,-0.190057
12:21.8,0.214702,12:21.8,-0.000534058,12:21.8,-0.152057
12:21.8,0.0440443,12:21.8,0.0236809,12:21.8,-0.102662
12:21.8,-0.0678015,12:21.8,0.0520277,12:21.8,-0.00989795
12:21.8,0.03649,12:21.8,0.0099194,12:21.8,0.0177884
12:21.8,0.140011,12:21.8,-0.0337315,12:21.8,-0.0279713
12:21.8,0.169156,12:21.8,0.0157845,12:21.8,-0.0588715
12:21.8,0.179695,12:21.8,0.0123012,12:21.8,-0.0555134
12:21.8,0.148118,12:21.8,-0.0853169,12:21.8,-0.072335
12:21.8,0.057528,12:21.8,-0.151892,12:21.8,-0.102774
12:21.8,-0.0177264,12:21.8,-0.149825,12:21.8,-0.120747
12:21.8,-0.0718307,12:21.8,-0.172199,12:21.8,-0.0459409
12:21.8,-0.188844,12:21.8,-0.22024,12:21.8,0.0843406
12:21.8,-0.255949,12:21.8,-0.20184,12:21.8,0.0765455
12:21.8,-0.218439,12:21.8,-0.155621,12:21.8,0.0234926
12:21.8,-0.165381,12:21.8,-0.0391519,12:21.8,0.0524437
12:21.8,-0.179675,12:21.8,0.0917518,12:21.8,0.0119138
12:21.8,-0.311444,12:21.8,0.200924,12:21.8,-0.0913072
12:21.8,-0.210962,12:21.8,0.246208,12:21.8,-0.0385261
12:21.8,0.0303257,12:21.8,0.318398,12:21.8,-0.0305927
12:21.8,-0.0661504,12:21.8,0.341191,12:21.8,-0.13626
12:21.8,0.183148,12:21.8,0.255663,12:21.8,-0.0737762
12:21.8,0.455486,12:21.8,0.12459,12:21.8,0.000936985
12:21.8,0.305947,12:21.8,0.0597763,12:21.8,-0.0175071
12:21.8,0.368634,12:21.8,-0.0238061,12:21.8,-0.00581622
