时间 - 电压,幅值 - 电压,时间 - 电压_0,幅值 2 - 电压_0,时间 - 电压_1,幅值 3 - 电压_1
09:50.5,0.334524,09:50.5,-0.115279,09:50.5,-0.191135
09:50.5,0.56729,09:50.5,0.0740862,09:50.5,-0.201223
09:50.5,0.463008,09:50.5,0.21071,09:50.5,-0.104085
09:50.5,0.259274,09:50.5,0.19699,09:50.5,0.129137
09:50.5,0.00916004,09:50.5,0.158169,09:50.5,0.0492907
09:50.5,-0.364442,09:50.5,0.134045,09:50.5,-0.0288546
09:50.5,-0.630504,09:50.5,-0.0620914,09:50.5,0.0316477
09:50.5,-0.583215,09:50.5,-0.261865,09:50.5,-0.11184
09:50.5,-0.473853,09:50.5,-0.384636,09:50.5,-0.202664
09:50.5,-0.378059,09:50.5,-0.476751,09:50.5,-0.192887
09:50.5,0.143723,09:50.5,-0.490499,09:50.5,-0.317036
09:50.5,0.533537,09:50.5,-0.298051,09:50.5,-0.332578
09:50.5,0.71275,09:50.5,-0.0704026,09:50.5,-0.218542
09:50.5,0.955393,09:50.5,0.0792849,09:50.5,-0.218198
09:50.5,0.756757,09:50.5,0.169424,09:50.5,-0.110902
09:50.5,0.446981,09:50.5,0.324763,09:50.5,0.0394475
09:50.5,0.257609,09:50.5,0.363156,09:50.5,-0.0107884
09:50.5,-0.2008,09:50.5,0.220258,09:50.5,0.0333738
09:50.5,-0.538739,09:50.5,0.00403047,09:50.5,0.0994372
09:50.5,-0.626696,09:50.5,-0.150725,09:50.5,-0.0323296
09:50.5,-0.459173,09:50.5,-0.384279,09:50.5,-0.0602853
09:50.5,-0.165433,09:50.5,-0.603088,09:50.5,-0.020144
09:50.5,-0.0346375,09:50.5,-0.572276,09:50.5,-0.140738
09:50.5,0.248872,09:50.5,-0.419323,09:50.5,-0.201383
09:50.5,0.53829,09:50.5,-0.359216,09:50.5,-0.15453
09:50.5,0.507165,09:50.5,-0.20784,09:50.5,-0.187616
09:50.5,0.536236,09:50.5,0.0563478,09:50.5,-0.163057
09:50.5,0.492374,09:50.5,0.195187,09:50.5,-0.102533
09:50.5,-0.0375259,09:50.5,0.186825,09:50.5,-0.101405
09:50.5,-0.41079,09:50.5,0.185494,09:50.5,-0.0552344
09:50.5,-0.517975,09:50.5,0.150238,09:50.5,-0.017314
09:50.5,-0.638715,09:50.5,0.0270641,09:50.5,-0.0809431
09:50.5,-0.495235,09:50.5,-0.220989,09:50.5,-0.0175929
09:50.5,-0.31426,09:50.5,-0.453291,09:50.5,0.077368
09:50.5,-0.271978,09:50.5,-0.535988,09:50.5,0.0055325
09:50.5,-0.0539696,09:50.5,-0.522898,09:50.5,-0.0197303
09:50.5,0.300502,09:50.5,-0.471593,09:50.5,-0.0160611
09:50.5,0.319605,09:50.5,-0.266905,09:50.5,-0.0925517
09:50.5,0.105424,09:50.5,-0.00429034,09:50.5,-0.136548
09:50.5,-0.0749314,09:50.5,0.184702,09:50.5,-0.100372
09:50.5,-0.361768,09:50.5,0.389519,09:50.5,-0.100782
09:50.5,-0.491369,09:50.5,0.544615,09:50.5,-0.148739
09:50.5,-0.492399,09:50.5,0.534338,09:50.5,-0.0925171
09:50.5,-0.610895,09:50.5,0.375483,09:50.5,0.0574136
09:50.5,-0.440634,09:50.5,0.10017,09:50.5,0.176538
09:50.5,-0.0668061,09:50.5,-0.208223,09:50.5,0.190668
09:50.5,0.218154,09:50.5,-0.449314,09:50.5,0.175995
09:50.5,0.434774,09:50.5,-0.547377,09:50.5,0.121533
09:50.5,0.398426,09:50.5,-0.542625,09:50.5,0.0260484
09:50.5,0.248187,09:50.5,-0.448563,09:50.5,-0.0628531
09:50.5,0.241419,09:50.5,-0.234703,09:50.5,-0.133278
09:50.5,-0.108663,09:50.5,0.0790608,09:50.5,-0.179416
09:50.5,-0.518475,09:50.5,0.35599,09:50.5,-0.160367
09:50.5,-0.594938,09:50.5,0.508165,09:50.5,-0.100693
09:50.5,-0.542427,09:50.5,0.602957,09:50.5,-0.0189924
09:50.5,-0.197927,09:50.5,0.632907,09:50.5,0.0792599
09:50.5,0.332427,09:50.5,0.424582,09:50.5,0.13878
09:50.5,0.598532,09:50.5,0.105406,09:50.5,0.185833
09:50.5,0.710356,09:50.5,-0.175813,09:50.5,0.204355
09:50.5,0.855891,09:50.5,-0.380963,09:50.5,0.0995779
09:50.5,0.596018,09:50.5,-0.590448,09:50.5,-0.0377691
09:50.5,-0.050627,09:50.5,-0.647073,09:50.5,-0.118083
