时间 - 电压,幅值 - 电压,时间 - 电压_0,幅值 2 - 电压_0,时间 - 电压_1,幅值 3 - 电压_1
09:16.3,0.623752,09:16.3,-0.176791,09:16.3,0.0690532
09:16.3,0.708293,09:16.3,-0.0916874,09:16.3,-0.1319
09:16.3,0.718832,09:16.3,0.0370944,09:16.3,-0.175986
09:16.3,0.418376,09:16.3,0.164473,09:16.3,-0.184288
09:16.3,0.142975,09:16.3,0.198952,09:16.3,-0.169954
09:16.3,-0.275465,09:16.3,0.138794,09:16.3,-0.0437403
09:16.3,-0.747646,09:16.3,0.0227451,09:16.3,0.103933
09:16.3,-0.807117,09:16.3,-0.159969,09:16.3,0.170736
09:16.3,-0.654869,09:16.3,-0.29724,09:16.3,0.256596
09:16.3,-0.517545,09:16.3,-0.412122,09:16.3,0.33911
09:16.3,-0.278918,09:16.3,-0.551823,09:16.3,0.1801
09:16.3,0.119306,09:16.3,-0.623881,09:16.3,-0.123643
09:16.3,0.494946,09:16.3,-0.469599,09:16.3,-0.385183
09:16.3,0.686141,09:16.3,-0.260296,09:16.3,-0.564573
09:16.3,0.694467,09:16.3,-0.13106,09:16.3,-0.671417
09:16.3,0.597626,09:16.3,0.0915396,09:16.3,-0.677201
09:16.3,0.504638,09:16.3,0.367432,09:16.3,-0.519242
09:16.3,0.38824,09:16.3,0.539156,09:16.3,-0.255685
09:16.3,0.0555801,09:16.3,0.562149,09:16.3,0.100011
09:16.3,-0.182031,09:16.3,0.582854,09:16.3,0.402808
09:16.3,-0.380644,09:16.3,0.428717,09:16.3,0.597726
09:16.3,-0.529956,09:16.3,0.151318,09:16.3,0.647626
09:16.3,-0.580462,09:16.3,0.0108314,09:16.3,0.489125
09:16.3,-0.599248,09:16.3,-0.0267529,09:16.3,0.257196
09:16.3,-0.438154,09:16.3,-0.135441,09:16.3,0.0154185
09:16.3,-0.203443,09:16.3,-0.267777,09:16.3,-0.364091
09:16.3,0.00120521,09:16.3,-0.17902,09:16.3,-0.624321
09:16.3,0.304139,09:16.3,0.0316846,09:16.3,-0.534978
09:16.3,0.454445,09:16.3,0.152323,09:16.3,-0.392047
09:16.3,0.746659,09:16.3,0.291902,09:16.3,-0.171965
09:16.3,0.822598,09:16.3,0.441997,09:16.3,0.24729
09:16.3,0.467812,09:16.3,0.464379,09:16.3,0.528655
