时间 - 电压,幅值 - 电压,时间 - 电压_0,幅值 2 - 电压_0,时间 - 电压_1,幅值 3 - 电压_1
09:05.0,-0.447099,09:05.0,-0.168018,09:05.0,-0.308983
09:05.0,-0.386986,09:05.0,0.0530803,09:05.0,-0.117456
09:05.0,-0.418725,09:05.0,0.195897,09:05.0,0.22177
09:05.0,-0.287254,09:05.0,0.312259,09:05.0,0.38927
09:05.0,0.0245726,09:05.0,0.371889,09:05.0,0.398955
09:05.0,0.294985,09:05.0,0.374271,09:05.0,0.362908
09:05.0,0.501931,09:05.0,0.248873,09:05.0,0.158346
09:05.0,0.778513,09:05.0,-0.00637531,09:05.0,-0.00732422
09:05.0,0.792797,09:05.0,-0.236344,09:05.0,-0.119911
09:05.0,0.554502,09:05.0,-0.333965,09:05.0,-0.285183
09:05.0,0.20829,09:05.0,-0.411267,09:05.0,-0.368546
09:05.0,-0.0265169,09:05.0,-0.496035,09:05.0,-0.275583
09:05.0,-0.27985,09:05.0,-0.405463,09:05.0,-0.181475
09:05.0,-0.555804,09:05.0,-0.122893,09:05.0,0.0143433
09:05.0,-0.539292,09:05.0,0.0566828,09:05.0,0.311966
09:05.0,-0.332375,09:05.0,0.26444,09:05.0,0.414991
09:05.0,-0.164405,09:05.0,0.531346,09:05.0,0.494052
09:05.0,0.253289,09:05.0,0.732815,09:05.0,0.525908
09:05.0,0.581137,09:05.0,0.669,09:05.0,0.246229
09:05.0,0.520163,09:05.0,0.566431,09:05.0,-0.0844669
09:05.0,0.46962,09:05.0,0.387713,09:05.0,-0.269252
09:05.0,0.30315,09:05.0,0.0450635,09:05.0,-0.50769
09:05.0,-0.15481,09:05.0,-0.292641,09:05.0,-0.679868
09:05.0,-0.521413,09:05.0,-0.493479,09:05.0,-0.643879
09:05.0,-0.627127,09:05.0,-0.58045,09:05.0,-0.576023
09:05.0,-0.662925,09:05.0,-0.696924,09:05.0,-0.356071
09:05.0,-0.503016,09:05.0,-0.652759,09:05.0,-0.0292051
09:05.0,-0.00959396,09:05.0,-0.437046,09:05.0,0.155966
09:05.0,0.432593,09:05.0,-0.153235,09:05.0,0.258147
09:05.0,0.620997,09:05.0,0.0821352,09:05.0,0.305387
09:05.0,0.728722,09:05.0,0.290494,09:05.0,0.105959
09:05.0,0.817413,09:05.0,0.404022,09:05.0,-0.141932
09:05.0,0.638318,09:05.0,0.305073,09:05.0,-0.24564
09:05.0,0.166065,09:05.0,0.118173,09:05.0,-0.454719
09:05.0,-0.15939,09:05.0,-0.108824,09:05.0,-0.533091
09:05.0,-0.225593,09:05.0,-0.350993,09:05.0,-0.374461
09:05.0,-0.316291,09:05.0,-0.503213,09:05.0,-0.271294
09:05.0,-0.1007,09:05.0,-0.496051,09:05.0,-0.104197
09:05.0,0.159533,09:05.0,-0.412896,09:05.0,0.189028
09:05.0,0.403365,09:05.0,-0.313603,09:05.0,0.295675
09:05.0,0.686387,09:05.0,-0.0522578,09:05.0,0.341964
09:05.0,0.529659,09:05.0,0.285906,09:05.0,0.460364
09:05.0,0.276015,09:05.0,0.54008,09:05.0,0.29694
09:05.0,0.0744617,09:05.0,0.630134,09:05.0,0.0916612
09:05.0,-0.273825,09:05.0,0.663149,09:05.0,0.0342071
09:05.0,-0.435644,09:05.0,0.533699,09:05.0,-0.164225
09:05.0,-0.383266,09:05.0,0.233184,09:05.0,-0.330374
09:05.0,-0.239471,09:05.0,-0.0282991,09:05.0,-0.246241
09:05.0,-0.120498,09:05.0,-0.237406,09:05.0,-0.219272
09:05.0,0.0246835,09:05.0,-0.473626,09:05.0,-0.184302
09:05.0,0.43662,09:05.0,-0.645882,09:05.0,0.0370741
09:05.0,0.592268,09:05.0,-0.582182,09:05.0,0.157943
09:05.0,0.447952,09:05.0,-0.419126,09:05.0,0.261954
09:05.0,0.259084,09:05.0,-0.305459,09:05.0,0.371732
09:05.0,0.0749278,09:05.0,-0.0249004,09:05.0,0.267166
09:05.0,-0.0825953,09:05.0,0.326103,09:05.0,0.121847
09:05.0,-0.360743,09:05.0,0.521469,09:05.0,0.0321412
09:05.0,-0.603156,09:05.0,0.495826,09:05.0,-0.191672
09:05.0,-0.598685,09:05.0,0.471718,09:05.0,-0.392689
09:05.0,-0.404088,09:05.0,0.347661,09:05.0,-0.41698
09:05.0,-0.113518,09:05.0,0.131093,09:05.0,-0.476309
09:05.0,0.180583,09:05.0,-0.0495291,09:05.0,-0.382961
09:05.0,0.490938,09:05.0,-0.215029,09:05.0,-0.0516129
09:05.0,0.718262,09:05.0,-0.376649,09:05.0,0.137548
09:05.0,0.681176,09:05.0,-0.455383,09:05.0,0.300488
09:05.0,0.575057,09:05.0,-0.301473,09:05.0,0.543238
09:05.0,0.218135,09:05.0,-0.0923097,09:05.0,0.503298
09:05.0,-0.192325,09:05.0,0.0780725,09:05.0,0.295088
09:05.0,-0.265217,09:05.0,0.241811,09:05.0,0.114095
09:05.0,-0.2534,09:05.0,0.329421,09:05.0,-0.205548
09:05.0,-0.269833,09:05.0,0.331964,09:05.0,-0.459408
09:05.0,-0.114268,09:05.0,0.234817,09:05.0,-0.474218
09:05.0,0.157528,09:05.0,0.149422,09:05.0,-0.49854
09:05.0,0.450153,09:05.0,-0.0117517,09:05.0,-0.404946
09:05.0,0.478748,09:05.0,-0.168231,09:05.0,-0.0918019
09:05.0,0.390189,09:05.0,-0.259932,09:05.0,0.148301
09:05.0,0.214914,09:05.0,-0.340339,09:05.0,0.384479
09:05.0,-0.0139904,09:05.0,-0.439473,09:05.0,0.56715
09:05.0,-0.133311,09:05.0,-0.443274,09:05.0,0.440499
09:05.0,-0.256616,09:05.0,-0.279884,09:05.0,0.241622
09:05.0,-0.287216,09:05.0,-0.151815,09:05.0,0.125978
09:05.0,-0.118434,09:05.0,-0.0922918,09:05.0,-0.137072
09:05.0,0.0127411,09:05.0,-0.0359261,09:05.0,-0.372214
09:05.0,0.146224,09:05.0,0.0380754,09:05.0,-0.423276
09:05.0,0.180773,09:05.0,0.0250876,09:05.0,-0.453724
09:05.0,-0.0476098,09:05.0,-0.0541294,09:05.0,-0.394322
09:05.0,-0.054754,09:05.0,-0.111566,09:05.0,-0.1922
09:05.0,-0.203032,09:05.0,-0.21246,09:05.0,-0.0602794
09:05.0,-0.449846,09:05.0,-0.315011,09:05.0,0.0439394
09:05.0,-0.362631,09:05.0,-0.374888,09:05.0,0.210301
09:05.0,-0.353984,09:05.0,-0.289283,09:05.0,0.21228
09:05.0,-0.375136,09:05.0,-0.208762,09:05.0,0.11579
09:05.0,0.0484908,09:05.0,-0.165949,09:05.0,0.0338769
09:05.0,0.41417,09:05.0,-0.0285435,09:05.0,-0.142804
09:05.0,0.279721,09:05.0,0.124949,09:05.0,-0.253307
09:05.0,0.341724,09:05.0,0.167086,09:05.0,-0.243666
09:05.0,0.386444,09:05.0,0.111197,09:05.0,-0.301241
09:05.0,0.285445,09:05.0,0.115426,09:05.0,-0.277972
09:05.0,0.213066,09:05.0,0.0398564,09:05.0,-0.132951
09:05.0,-0.0947177,09:05.0,-0.0598013,09:05.0,-0.0632632
09:05.0,-0.104127,09:05.0,-0.139512,09:05.0,0.0698662
09:05.0,0.129278,09:05.0,-0.180427,09:05.0,0.263845
09:05.0,0.0946355,09:05.0,-0.214542,09:05.0,0.216008
09:05.0,0.090487,09:05.0,-0.206522,09:05.0,0.153359
09:05.0,0.212259,09:05.0,-0.172323,09:05.0,0.204676
09:05.0,0.157833,09:05.0,-0.165206,09:05.0,0.0650764
09:05.0,0.00791073,09:05.0,-0.0794494,09:05.0,-0.139232
09:05.0,-0.0475717,09:05.0,0.0104773,09:05.0,-0.161424
09:05.0,-0.0863647,09:05.0,0.0421953,09:05.0,-0.175138
09:05.0,-0.391744,09:05.0,0.0545478,09:05.0,-0.175316
09:05.0,-0.38646,09:05.0,0.150429,09:05.0,-0.0451696
09:05.0,-0.242822,09:05.0,0.191371,09:05.0,0.0271285
09:05.0,-0.041151,09:05.0,0.0575054,09:05.0,0.101908
09:05.0,0.317357,09:05.0,-0.0139701,09:05.0,0.249397
09:05.0,0.304948,09:05.0,0.000104904,09:05.0,0.235976
09:05.0,0.445095,09:05.0,-0.0147474,09:05.0,0.149077
09:05.0,0.57976,09:05.0,-0.0789607,09:05.0,0.118277
09:05.0,0.197052,09:05.0,-0.104853,09:05.0,-0.0222242
09:05.0,-0.197859,09:05.0,-0.142561,09:05.0,-0.146513
09:05.0,-0.345749,09:05.0,-0.190978,09:05.0,-0.114093
09:05.0,-0.551075,09:05.0,-0.147313,09:05.0,-0.167652
09:05.0,-0.68006,09:05.0,-0.0682092,09:05.0,-0.175785
09:05.0,-0.590944,09:05.0,-0.0861645,09:05.0,-0.0517225
