时间 - 电压,幅值 - 电压,时间 - 电压_0,幅值 2 - 电压_0,时间 - 电压_1,幅值 3 - 电压_1
08:53.7,0.615997,08:53.7,0.207963,08:53.7,0.050689
08:53.7,0.817991,08:53.7,0.199229,08:53.7,0.148298
08:53.7,0.679944,08:53.7,0.236613,08:53.7,0.171857
08:53.7,0.341527,08:53.7,0.11912,08:53.7,0.278246
08:53.7,-0.0677967,08:53.7,-0.0907445,08:53.7,0.334519
08:53.7,-0.600507,08:53.7,-0.186168,08:53.7,0.306433
08:53.7,-0.816933,08:53.7,-0.242929,08:53.7,0.349927
08:53.7,-0.736563,08:53.7,-0.352615,08:53.7,0.30067
08:53.7,-0.75051,08:53.7,-0.363914,08:53.7,0.0726581
08:53.7,-0.376728,08:53.7,-0.251499,08:53.7,-0.025177
08:53.7,0.167265,08:53.7,-0.123172,08:53.7,-0.0712359
08:53.7,0.376461,08:53.7,0.0150597,08:53.7,-0.268275
08:53.7,0.671031,08:53.7,0.131505,08:53.7,-0.351727
08:53.7,0.730085,08:53.7,0.188941,08:53.7,-0.295826
08:53.7,0.420529,08:53.7,0.254107,08:53.7,-0.233928
08:53.7,0.218341,08:53.7,0.253967,08:53.7,-0.132171
08:53.7,0.068022,08:53.7,0.214212,08:53.7,0.00970364
08:53.7,-0.302719,08:53.7,0.109664,08:53.7,0.113209
08:53.7,-0.47327,08:53.7,-0.022589,08:53.7,0.193018
08:53.7,-0.318825,08:53.7,-0.192255,08:53.7,0.240318
08:53.7,-0.112231,08:53.7,-0.28787,08:53.7,0.207996
08:53.7,0.213205,08:53.7,-0.318791,08:53.7,0.135558
08:53.7,0.407522,08:53.7,-0.268838,08:53.7,-0.0126171
08:53.7,0.558406,08:53.7,-0.134362,08:53.7,-0.204067
08:53.7,0.740976,08:53.7,-0.087043,08:53.7,-0.310136
08:53.7,0.76876,08:53.7,-0.0314415,08:53.7,-0.364364
08:53.7,0.580679,08:53.7,0.129443,08:53.7,-0.389564
08:53.7,0.363714,08:53.7,0.245825,08:53.7,-0.308259
08:53.7,0.16722,08:53.7,0.101765,08:53.7,-0.165031
08:53.7,-0.0729167,08:53.7,0.0515127,08:53.7,-0.0497639
08:53.7,-0.251416,08:53.7,0.0988603,08:53.7,0.140243
08:53.7,-0.385504,08:53.7,-0.0516033,08:53.7,0.32673
08:53.7,-0.469717,08:53.7,-0.216508,08:53.7,0.378866
08:53.7,-0.521326,08:53.7,-0.217638,08:53.7,0.373968
08:53.7,-0.470084,08:53.7,-0.122008,08:53.7,0.351709
08:53.7,-0.287733,08:53.7,-0.160488,08:53.7,0.238047
08:53.7,-0.0324786,08:53.7,-0.068717,08:53.7,0.064249
08:53.7,0.130961,08:53.7,0.122447,08:53.7,-0.0785124
08:53.7,0.357832,08:53.7,0.201203,08:53.7,-0.164367
08:53.7,0.544698,08:53.7,0.131427,08:53.7,-0.227736
08:53.7,0.657321,08:53.7,0.140619,08:53.7,-0.28163
08:53.7,0.67759,08:53.7,0.234056,08:53.7,-0.218172
08:53.7,0.404633,08:53.7,0.104526,08:53.7,-0.0830221
08:53.7,0.315524,08:53.7,-0.0683916,08:53.7,0.006212
08:53.7,0.307581,08:53.7,-0.119283,08:53.7,0.133775
08:53.7,-0.172243,08:53.7,-0.114603,08:53.7,0.228454
08:53.7,-0.358315,08:53.7,-0.261073,08:53.7,0.175259
08:53.7,-0.395073,08:53.7,-0.274312,08:53.7,0.0951254
08:53.7,-0.497392,08:53.7,-0.133861,08:53.7,0.0667048
08:53.7,-0.0503063,08:53.7,-0.0669324,08:53.7,-0.0166762
08:53.7,0.145947,08:53.7,-0.0530469,08:53.7,-0.122733
08:53.7,0.110692,08:53.7,0.0122726,08:53.7,-0.10407
08:53.7,0.509689,08:53.7,0.0507951,08:53.7,-0.0119448
08:53.7,0.490628,08:53.7,-0.00326872,08:53.7,0.116203
08:53.7,0.249904,08:53.7,-0.015173,08:53.7,0.227805
08:53.7,0.147698,08:53.7,-0.0735855,08:53.7,0.26472
08:53.7,-0.294778,08:53.7,-0.186999,08:53.7,0.280845
08:53.7,-0.662162,08:53.7,-0.205649,08:53.7,0.237502
08:53.7,-0.698278,08:53.7,-0.209553,08:53.7,0.0968766
08:53.7,-0.630388,08:53.7,-0.223278,08:53.7,-0.0165427
08:53.7,-0.363381,08:53.7,-0.175166,08:53.7,-0.0727069
08:53.7,-0.067234,08:53.7,0.0187528,08:53.7,-0.178283
08:53.7,0.250227,08:53.7,0.0963616,08:53.7,-0.149722
08:53.7,0.541496,08:53.7,0.171286,08:53.7,0.0171125
08:53.7,0.769972,08:53.7,0.328861,08:53.7,0.0863767
08:53.7,0.754927,08:53.7,0.418792,08:53.7,0.136924
08:53.7,0.220073,08:53.7,0.29922,08:53.7,0.157707
08:53.7,-0.278537,08:53.7,0.166206,08:53.7,0.0885379
08:53.7,-0.547544,08:53.7,0.162486,08:53.7,0.0488496
08:53.7,-0.671245,08:53.7,0.0586247,08:53.7,0.0337434
08:53.7,-0.671867,08:53.7,-0.177388,08:53.7,-0.138509
08:53.7,-0.505941,08:53.7,-0.303729,08:53.7,-0.207742
08:53.7,-0.0772285,08:53.7,-0.220766,08:53.7,-0.0803828
08:53.7,0.360935,08:53.7,-0.168087,08:53.7,-0.0439489
08:53.7,0.793256,08:53.7,-0.187837,08:53.7,-0.00237226
08:53.7,0.784539,08:53.7,-0.0135922,08:53.7,0.141996
08:53.7,0.621903,08:53.7,0.192239,08:53.7,0.138226
08:53.7,0.573381,08:53.7,0.274734,08:53.7,0.0502098
08:53.7,0.149211,08:53.7,0.355152,08:53.7,0.0570905
08:53.7,-0.254352,08:53.7,0.475194,08:53.7,-0.0390267
08:53.7,-0.427685,08:53.7,0.364761,08:53.7,-0.183178
08:53.7,-0.523205,08:53.7,0.15015,08:53.7,-0.244092
08:53.7,-0.39153,08:53.7,0.023998,08:53.7,-0.334725
08:53.7,-0.228357,08:53.7,-0.115888,08:53.7,-0.343739
08:53.7,-0.0219893,08:53.7,-0.292586,08:53.7,-0.25045
08:53.7,0.0799346,08:53.7,-0.35167,08:53.7,-0.259608
08:53.7,0.0520957,08:53.7,-0.296887,08:53.7,-0.28896
08:53.7,0.0591791,08:53.7,-0.24615,08:53.7,-0.124564
08:53.7,-0.12517,08:53.7,-0.113149,08:53.7,-0.0340593
08:53.7,-0.307561,08:53.7,0.136135,08:53.7,-0.0444639
