时间 - 电压,幅值 - 电压,时间 - 电压_0,幅值 2 - 电压_0,时间 - 电压_1,幅值 3 - 电压_1
12:45.6,0.933924,12:45.6,0.067035,12:45.6,-0.162352
12:45.6,1.12337,12:45.6,-0.0224483,12:45.6,-0.233252
12:45.6,0.692768,12:45.6,-0.159277,12:45.6,-0.216846
12:45.6,0.500588,12:45.6,-0.315633,12:45.6,-0.261964
12:45.6,0.15113,12:45.6,-0.397732,12:45.6,-0.155661
12:45.6,-0.297115,12:45.6,-0.367644,12:45.6,0.0785959
12:45.6,-0.375288,12:45.6,-0.266582,12:45.6,0.239588
12:45.6,-0.467863,12:45.6,-0.17238,12:45.6,0.375103
12:45.6,-0.507942,12:45.6,-0.0294936,12:45.6,0.427016
12:45.6,-0.141075,12:45.6,0.171885,12:45.6,0.315479
12:45.6,0.437918,12:45.6,0.280719,12:45.6,0.232699
12:45.6,0.687891,12:45.6,0.337245,12:45.6,0.112711
12:45.6,0.856889,12:45.6,0.385492,12:45.6,-0.0651324
12:45.6,1.05819,12:45.6,0.35018,12:45.6,-0.0613093
12:45.6,0.796573,12:45.6,0.187151,12:45.6,0.0059855
12:45.6,0.599985,12:45.6,0.0202966,12:45.6,-0.0324452
12:45.6,0.239714,12:45.6,-0.108459,12:45.6,0.0423479
12:45.6,-0.360758,12:45.6,-0.230742,12:45.6,0.2356
12:45.6,-0.467973,12:45.6,-0.33613,12:45.6,0.29394
12:45.6,-0.553014,12:45.6,-0.356047,12:45.6,0.312116
12:45.6,-0.476327,12:45.6,-0.307041,12:45.6,0.307782
12:45.6,-0.017612,12:45.6,-0.201578,12:45.6,0.18689
12:45.6,0.24954,12:45.6,-0.107418,12:45.6,0.0856912
12:45.6,0.663985,12:45.6,-0.0381315,12:45.6,-0.0215089
12:45.6,0.82428,12:45.6,0.027914,12:45.6,-0.141568
12:45.6,0.494833,12:45.6,0.0966382,12:45.6,-0.109152
12:45.6,0.267481,12:45.6,0.148423,12:45.6,-0.02141
12:45.6,-0.16957,12:45.6,0.124117,12:45.6,-0.0198579
12:45.6,-0.489413,12:45.6,-0.0030303,12:45.6,0.0910842
