时间 - 电压,幅值 - 电压,时间 - 电压_0,幅值 2 - 电压_0,时间 - 电压_1,幅值 3 - 电压_1
10:08.3,0.198535,10:08.3,-0.0632513,10:08.3,0.492166
10:08.3,-0.156832,10:08.3,0.0692034,10:08.3,0.507416
10:08.3,-0.331272,10:08.3,0.17405,10:08.3,0.376951
10:08.3,-0.566946,10:08.3,0.209861,10:08.3,0.242484
10:08.3,-0.51152,10:08.3,0.228815,10:08.3,-0.00689983
10:08.3,-0.27371,10:08.3,0.160526,10:08.3,-0.247031
10:08.3,-0.264943,10:08.3,-0.0113714,10:08.3,-0.313342
10:08.3,0.00710964,10:08.3,-0.158325,10:08.3,-0.343153
10:08.3,0.335696,10:08.3,-0.212033,10:08.3,-0.228634
10:08.3,0.247843,10:08.3,-0.269179,10:08.3,0.010885
10:08.3,0.262538,10:08.3,-0.299672,10:08.3,0.148928
10:08.3,0.316653,10:08.3,-0.213583,10:08.3,0.294032
10:08.3,0.263017,10:08.3,-0.0664377,10:08.3,0.497006
10:08.3,0.211571,10:08.3,0.0986338,10:08.3,0.480365
10:08.3,0.127453,10:08.3,0.258988,10:08.3,0.332054
10:08.3,0.0295937,10:08.3,0.301434,10:08.3,0.146888
10:08.3,-0.046761,10:08.3,0.306998,10:08.3,-0.188836
10:08.3,0.0586581,10:08.3,0.376551,10:08.3,-0.433613
10:08.3,0.058347,10:08.3,0.334516,10:08.3,-0.493711
10:08.3,-0.0600219,10:08.3,0.159999,10:08.3,-0.512674
10:08.3,0.0611675,10:08.3,0.0235355,10:08.3,-0.364317
10:08.3,0.186733,10:08.3,-0.0111651,10:08.3,-0.0391769
10:08.3,0.251106,10:08.3,-0.0895369,10:08.3,0.228547
10:08.3,0.297818,10:08.3,-0.206944,10:08.3,0.4616
10:08.3,0.177605,10:08.3,-0.198823,10:08.3,0.633483
10:08.3,-0.0331032,10:08.3,-0.109721,10:08.3,0.58488
10:08.3,-0.0851727,10:08.3,-0.0897062,10:08.3,0.455792
10:08.3,-0.0121593,10:08.3,-0.0863612,10:08.3,0.211768
10:08.3,0.030278,10:08.3,-0.00665545,10:08.3,-0.188046
10:08.3,-0.0480485,10:08.3,0.0343585,10:08.3,-0.487647
10:08.3,0.0689161,10:08.3,-0.0284886,10:08.3,-0.605237
10:08.3,0.2372,10:08.3,-0.0363517,10:08.3,-0.604948
10:08.3,0.263059,10:08.3,0.0187433,10:08.3,-0.357533
10:08.3,0.130259,10:08.3,0.0101912,10:08.3,-0.00311852
10:08.3,-0.257667,10:08.3,0.0220048,10:08.3,0.190095
10:08.3,-0.42907,10:08.3,0.178261,10:08.3,0.441823
10:08.3,-0.471075,10:08.3,0.203009,10:08.3,0.597018
10:08.3,-0.478463,10:08.3,0.13615,10:08.3,0.44191
10:08.3,-0.398805,10:08.3,0.168806,10:08.3,0.225375
10:08.3,-0.362149,10:08.3,0.227638,10:08.3,-0.00686646
10:08.3,-0.214729,10:08.3,0.148206,10:08.3,-0.371356
10:08.3,-0.177662,10:08.3,0.0537443,10:08.3,-0.669624
10:08.3,-0.134231,10:08.3,0.00810862,10:08.3,-0.754339
10:08.3,-0.0118661,10:08.3,-0.0227225,10:08.3,-0.751669
10:08.3,-0.194566,10:08.3,-0.111184,10:08.3,-0.526087
10:08.3,-0.263146,10:08.3,-0.152407,10:08.3,-0.212009
10:08.3,-0.176394,10:08.3,-0.129243,10:08.3,0.043633
10:08.3,-0.192994,10:08.3,-0.100349,10:08.3,0.328355
10:08.3,-0.176817,10:08.3,-0.100843,10:08.3,0.45663
10:08.3,-0.0788558,10:08.3,-0.0505424,10:08.3,0.34742
10:08.3,0.048269,10:08.3,-0.0459194,10:08.3,0.209111
10:08.3,0.146953,10:08.3,-0.128942,10:08.3,0.0629675
10:08.3,0.226682,10:08.3,-0.13939,10:08.3,-0.23217
10:08.3,0.170271,10:08.3,-0.0119925,10:08.3,-0.415481
10:08.3,-0.0134397,10:08.3,0.00824332,10:08.3,-0.478938
10:08.3,-0.0152445,10:08.3,-0.0493002,10:08.3,-0.507822
10:08.3,0.0534558,10:08.3,-0.0534749,10:08.3,-0.317876
10:08.3,-0.0619924,10:08.3,0.0284016,10:08.3,-0.0284195
10:08.3,-0.0739264,10:08.3,-0.00416636,10:08.3,0.195011
10:08.3,-0.0142813,10:08.3,-0.0257683,10:08.3,0.381553
10:08.3,0.235598,10:08.3,0.00475287,10:08.3,0.447417
10:08.3,0.281975,10:08.3,-0.0258422,10:08.3,0.302856
10:08.3,0.153155,10:08.3,-0.120174,10:08.3,0.159454
10:08.3,0.212961,10:08.3,-0.13954,10:08.3,-0.0206172
10:08.3,0.100317,10:08.3,-0.130087,10:08.3,-0.325463
10:08.3,-0.0392699,10:08.3,-0.136486,10:08.3,-0.486096
10:08.3,-0.0351679,10:08.3,-0.0788736,10:08.3,-0.465089
10:08.3,-0.199975,10:08.3,0.025326,10:08.3,-0.394975
10:08.3,-0.493765,10:08.3,0.0127506,10:08.3,-0.245072
10:08.3,-0.419873,10:08.3,-0.00750303,10:08.3,0.0385797
10:08.3,-0.450767,10:08.3,0.0952506,10:08.3,0.259444
10:08.3,-0.528647,10:08.3,0.199142,10:08.3,0.420251
10:08.3,-0.16193,10:08.3,0.182986,10:08.3,0.494602
10:08.3,0.0275803,10:08.3,0.166118,10:08.3,0.422317
10:08.3,0.0791216,10:08.3,0.127339,10:08.3,0.301585
10:08.3,0.334256,10:08.3,0.0993288,10:08.3,0.144466
10:08.3,0.247827,10:08.3,0.0663781,10:08.3,0.0524962
10:08.3,0.107299,10:08.3,0.080204,10:08.3,0.0376749
10:08.3,0.0596142,10:08.3,0.0839007,10:08.3,0.05023
10:08.3,-0.096209,10:08.3,0.0772512,10:08.3,0.0729835
10:08.3,-0.300908,10:08.3,0.0632882,10:08.3,0.158639
10:08.3,-0.44535,10:08.3,0.0711727,10:08.3,0.228631
10:08.3,-0.292096,10:08.3,0.0675106,10:08.3,0.232197
10:08.3,-0.0775218,10:08.3,0.0418961,10:08.3,0.246924
10:08.3,0.111951,10:08.3,0.060488,10:08.3,0.140738
10:08.3,0.513673,10:08.3,0.0838768,10:08.3,-0.0655961
10:08.3,0.663064,10:08.3,0.0614238,10:08.3,-0.203767
10:08.3,0.509014,10:08.3,0.0519907,10:08.3,-0.277768
10:08.3,0.462825,10:08.3,0.0644684,10:08.3,-0.332311
10:08.3,0.341398,10:08.3,0.103152,10:08.3,-0.260023
10:08.3,0.150832,10:08.3,0.150205,10:08.3,-0.0704193
10:08.3,-0.119063,10:08.3,0.192404,10:08.3,0.105252
10:08.3,-0.287158,10:08.3,0.0802541,10:08.3,0.251333
10:08.3,-0.202112,10:08.3,-0.0584733,10:08.3,0.348197
10:08.3,-0.176158,10:08.3,-0.122753,10:08.3,0.376288
10:08.3,-0.0794387,10:08.3,-0.200156,10:08.3,0.269116
10:08.3,0.124849,10:08.3,-0.31531,10:08.3,0.11304
10:08.3,0.17208,10:08.3,-0.376254,10:08.3,-0.0120914
10:08.3,0.354203,10:08.3,-0.330901,10:08.3,-0.210922
10:08.3,0.33287,10:08.3,-0.366547,10:08.3,-0.38373
10:08.3,-0.0938308,10:08.3,-0.363852,10:08.3,-0.381541
10:08.3,-0.366844,10:08.3,-0.247799,10:08.3,-0.284966
10:08.3,-0.469919,10:08.3,-0.0569272,10:08.3,-0.201654
10:08.3,-0.683784,10:08.3,0.0476313,10:08.3,-0.00796318
10:08.3,-0.771139,10:08.3,0.0819981,10:08.3,0.192817
10:08.3,-0.460392,10:08.3,0.166794,10:08.3,0.256627
10:08.3,-0.125962,10:08.3,0.160692,10:08.3,0.266713
10:08.3,0.269819,10:08.3,0.0499237,10:08.3,0.23734
10:08.3,0.750779,10:08.3,-0.0740993,10:08.3,0.086292
10:08.3,0.682099,10:08.3,-0.100539,10:08.3,-0.106357
10:08.3,0.479981,10:08.3,-0.104208,10:08.3,-0.221261
