时间 - 电压,幅值 - 电压,时间 - 电压_0,幅值 2 - 电压_0,时间 - 电压_1,幅值 3 - 电压_1
11:02.4,0.532082,11:02.4,-0.0549471,11:02.4,-0.235138
11:02.4,0.318028,11:02.4,0.0793743,11:02.4,-0.182904
11:02.4,0.361086,11:02.4,-0.00511169,11:02.4,-0.106347
11:02.4,0.433568,11:02.4,-0.112568,11:02.4,0.0132012
11:02.4,0.336599,11:02.4,-0.00378966,11:02.4,0.218612
11:02.4,0.232786,11:02.4,0.0984323,11:02.4,0.390544
11:02.4,0.190324,11:02.4,-0.0206184,11:02.4,0.402529
11:02.4,0.0133872,11:02.4,-0.0571179,11:02.4,0.410074
11:02.4,-0.155786,11:02.4,0.152678,11:02.4,0.363554
11:02.4,-0.473361,11:02.4,0.255005,11:02.4,0.163456
11:02.4,-0.621554,11:02.4,0.18117,11:02.4,0.017066
11:02.4,-0.379238,11:02.4,0.109472,11:02.4,-0.056777
11:02.4,-0.368899,11:02.4,0.0493908,11:02.4,-0.174336
11:02.4,-0.266557,11:02.4,-0.0565946,11:02.4,-0.205464
11:02.4,-0.0389087,11:02.4,-0.150903,11:02.4,-0.0338924
11:02.4,0.0715601,11:02.4,-0.160983,11:02.4,0.155894
11:02.4,0.33047,11:02.4,-0.217249,11:02.4,0.300922
11:02.4,0.351466,11:02.4,-0.202657,11:02.4,0.374696
11:02.4,0.00915527,11:02.4,-0.0736165,11:02.4,0.321951
11:02.4,-0.157434,11:02.4,0.0282729,11:02.4,0.32084
11:02.4,-0.182923,11:02.4,0.0788224,11:02.4,0.275912
11:02.4,-0.381782,11:02.4,0.197517,11:02.4,0.0975943
11:02.4,-0.449682,11:02.4,0.216879,11:02.4,-0.0512588
11:02.4,-0.234313,11:02.4,0.0836957,11:02.4,-0.0667632
11:02.4,-0.0153625,11:02.4,-0.0443196,11:02.4,-0.0765288
11:02.4,0.260762,11:02.4,-0.159791,11:02.4,-0.0571907
11:02.4,0.484442,11:02.4,-0.354145,11:02.4,0.00816464
11:02.4,0.399318,11:02.4,-0.420058,11:02.4,-0.0172484
11:02.4,0.47835,11:02.4,-0.253078,11:02.4,-0.00796556
11:02.4,0.436376,11:02.4,-0.107846,11:02.4,0.0158274
11:02.4,-0.16338,11:02.4,-0.133849,11:02.4,-0.0590253
11:02.4,-0.426623,11:02.4,-0.00320792,11:02.4,-0.138881
11:02.4,-0.334413,11:02.4,0.196145,11:02.4,-0.191404
11:02.4,-0.350852,11:02.4,0.197999,11:02.4,-0.254146
11:02.4,-0.252467,11:02.4,0.0976396,11:02.4,-0.228999
11:02.4,-0.0978816,11:02.4,0.158211,11:02.4,-0.124425
11:02.4,0.130428,11:02.4,0.116467,11:02.4,-0.1569
11:02.4,0.523139,11:02.4,-0.114387,11:02.4,-0.163444
11:02.4,0.765923,11:02.4,-0.247897,11:02.4,-0.026871
11:02.4,0.528635,11:02.4,-0.273918,11:02.4,0.0883508
11:02.4,0.371199,11:02.4,-0.374815,11:02.4,0.127059
11:02.4,0.287142,11:02.4,-0.432304,11:02.4,0.173446
11:02.4,0.0112212,11:02.4,-0.365533,11:02.4,0.224754
11:02.4,-0.17411,11:02.4,-0.329295,11:02.4,0.244547
11:02.4,-0.293067,11:02.4,-0.35566,11:02.4,0.210582
11:02.4,-0.402576,11:02.4,-0.268093,11:02.4,0.0745988
11:02.4,-0.21008,11:02.4,-0.133302,11:02.4,0.00102162
11:02.4,0.0552344,11:02.4,-0.0734234,11:02.4,-0.0706542
11:02.4,0.108438,11:02.4,-0.0459635,11:02.4,-0.140671
11:02.4,0.256809,11:02.4,0.0235212,11:02.4,-0.0707793
11:02.4,0.319122,11:02.4,0.0232971,11:02.4,0.049746
11:02.4,0.384513,11:02.4,-0.0644076,11:02.4,0.13054
11:02.4,0.661393,11:02.4,-0.190375,11:02.4,0.264045
11:02.4,0.41922,11:02.4,-0.260891,11:02.4,0.453597
11:02.4,0.227953,11:02.4,-0.262958,11:02.4,0.473212
11:02.4,0.440223,11:02.4,-0.242835,11:02.4,0.391833
11:02.4,0.127476,11:02.4,-0.268987,11:02.4,0.269847
11:02.4,-0.204407,11:02.4,-0.279719,11:02.4,0.074352
11:02.4,-0.154082,11:02.4,-0.19616,11:02.4,-0.115407
11:02.4,-0.164915,11:02.4,-0.0549555,11:02.4,-0.27095
11:02.4,-0.0794721,11:02.4,0.00943184,11:02.4,-0.38924
11:02.4,0.216587,11:02.4,0.0599146,11:02.4,-0.389642
11:02.4,0.361013,11:02.4,0.104535,11:02.4,-0.222288
11:02.4,0.493466,11:02.4,0.137446,11:02.4,-0.0904238
11:02.4,0.657732,11:02.4,0.0986898,11:02.4,0.00125408
11:02.4,0.663949,11:02.4,0.0495768,11:02.4,0.162277
11:02.4,0.583547,11:02.4,0.0416172,11:02.4,0.270109
11:02.4,0.362011,11:02.4,0.0127065,11:02.4,0.266904
11:02.4,0.0936174,11:02.4,-0.0219548,11:02.4,0.183293
11:02.4,-0.14044,11:02.4,-0.021441,11:02.4,0.112193
11:02.4,-0.306709,11:02.4,0.0561929,11:02.4,0.0533068
11:02.4,-0.328913,11:02.4,0.0745177,11:02.4,-0.000312328
11:02.4,-0.261137,11:02.4,0.0595272,11:02.4,-0.070188
11:02.4,-0.0713754,11:02.4,0.184938,11:02.4,-0.0298524
11:02.4,0.157211,11:02.4,0.309902,11:02.4,0.114827
11:02.4,0.256615,11:02.4,0.283209,11:02.4,0.223693
11:02.4,0.204087,11:02.4,0.119923,11:02.4,0.34888
11:02.4,0.040108,11:02.4,0.107715,11:02.4,0.435673
11:02.4,-0.0905526,11:02.4,0.161643,11:02.4,0.411776
11:02.4,-0.117284,11:02.4,0.117061,11:02.4,0.317096
11:02.4,-0.381032,11:02.4,0.0358975,11:02.4,0.207831
11:02.4,-0.653208,11:02.4,0.0724363,11:02.4,0.0663114
11:02.4,-0.458398,11:02.4,0.169672,11:02.4,-0.0675392
11:02.4,-0.309663,11:02.4,0.139154,11:02.4,-0.112584
11:02.4,-0.180186,11:02.4,0.108911,11:02.4,-0.117652
11:02.4,0.133513,11:02.4,0.0886583,11:02.4,-0.0613105
11:02.4,0.082525,11:02.4,0.00303626,11:02.4,0.0547528
11:02.4,0.141538,11:02.4,-0.103238,11:02.4,0.187057
11:02.4,0.304809,11:02.4,-0.126183,11:02.4,0.250361
11:02.4,0.0743079,11:02.4,-0.134509,11:02.4,0.279915
11:02.4,0.0579989,11:02.4,-0.22187,11:02.4,0.236568
11:02.4,0.159293,11:02.4,-0.191693,11:02.4,0.0512898
11:02.4,-0.129493,11:02.4,-0.0425291,11:02.4,-0.152413
11:02.4,-0.0993109,11:02.4,0.135226,11:02.4,-0.264015
11:02.4,0.143948,11:02.4,0.209016,11:02.4,-0.320942
11:02.4,0.197921,11:02.4,0.221683,11:02.4,-0.336057
11:02.4,0.475773,11:02.4,0.240171,11:02.4,-0.239296
11:02.4,0.476346,11:02.4,0.2955,11:02.4,-0.11497
11:02.4,0.309185,11:02.4,0.331099,11:02.4,-0.0610673
11:02.4,0.261881,11:02.4,0.201337,11:02.4,-0.0140607
11:02.4,-0.0588036,11:02.4,0.0904572,11:02.4,0.0153029
11:02.4,-0.292181,11:02.4,0.104724,11:02.4,-0.00191808
11:02.4,-0.38192,11:02.4,0.123934,11:02.4,-0.0223327
11:02.4,-0.511359,11:02.4,-0.017035,11:02.4,-0.0743318
11:02.4,-0.462649,11:02.4,-0.0824571,11:02.4,-0.203302
11:02.4,-0.44158,11:02.4,0.0114977,11:02.4,-0.235921
11:02.4,-0.344838,11:02.4,0.00671268,11:02.4,-0.153359
11:02.4,-0.186163,11:02.4,-0.00614762,11:02.4,-0.0847197
11:02.4,-0.136451,11:02.4,0.0909317,11:02.4,0.0233781
11:02.4,-0.105126,11:02.4,0.225577,11:02.4,0.130622
11:02.4,-0.0807762,11:02.4,0.199333,11:02.4,0.124296
11:02.4,-0.263902,11:02.4,0.272748,11:02.4,0.126975
11:02.4,-0.212722,11:02.4,0.408922,11:02.4,0.15535
11:02.4,-0.12442,11:02.4,0.344676,11:02.4,0.0892746
11:02.4,-0.237243,11:02.4,0.18327,11:02.4,0.0360167
11:02.4,-0.0428152,11:02.4,0.147951,11:02.4,0.0231862
11:02.4,0.20498,11:02.4,0.122241,11:02.4,-0.0840831
11:02.4,0.269477,11:02.4,-0.0699198,11:02.4,-0.146551
11:02.4,0.288224,11:02.4,-0.191429,11:02.4,-0.172831
11:02.4,0.337847,11:02.4,-0.180255,11:02.4,-0.216668
11:02.4,0.277524,11:02.4,-0.160174,11:02.4,-0.132331
11:02.4,0.117,11:02.4,-0.17503,11:02.4,0.00154614
11:02.4,-0.145528,11:02.4,-0.164516,11:02.4,0.00287652
11:02.4,-0.381362,11:02.4,-0.117016,11:02.4,0.046289
11:02.4,-0.441736,11:02.4,-0.0854015,11:02.4,0.150667
11:02.4,-0.44646,11:02.4,0.0156724,11:02.4,0.111406
11:02.4,-0.19671,11:02.4,0.0629961,11:02.4,0.119451
11:02.4,0.122168,11:02.4,0.0813675,11:02.4,0.128398
11:02.4,0.395422,11:02.4,0.148947,11:02.4,-0.0616503
11:02.4,0.716257,11:02.4,0.211101,11:02.4,-0.17138
11:02.4,0.979836,11:02.4,0.172206,11:02.4,-0.174093
11:02.4,0.964274,11:02.4,0.0732088,11:02.4,-0.302248
11:02.4,0.688353,11:02.4,0.0993884,11:02.4,-0.2457
11:02.4,0.316347,11:02.4,0.0761414,11:02.4,0.00514865
11:02.4,-0.0267243,11:02.4,-0.00211239,11:02.4,-0.00383139
11:02.4,-0.416276,11:02.4,-0.0543618,11:02.4,0.0338662
11:02.4,-0.774,11:02.4,-0.0253999,11:02.4,0.234176
11:02.4,-0.723257,11:02.4,-0.0372779,11:02.4,0.235177
11:02.4,-0.701352,11:02.4,-0.0568378,11:02.4,0.172539
11:02.4,-0.550877,11:02.4,0.0196624,11:02.4,0.202339
11:02.4,0.105002,11:02.4,0.0827515,11:02.4,0.0850558
11:02.5,0.238137,11:02.5,0.085609,11:02.5,-0.0466621
11:02.5,-0.0229704,11:02.5,0.0869668,11:02.5,-0.0459003
11:02.5,-0.00294209,11:02.5,0.125036,11:02.5,-0.136987
11:02.5,-0.249057,11:02.5,0.0746787,11:02.5,-0.103023
11:02.5,-0.473787,11:02.5,0.0145257,11:02.5,0.0970733
11:02.5,-0.555688,11:02.5,0.0341022,11:02.5,0.147287
11:02.5,-0.899251,11:02.5,0.0201797,11:02.5,0.242018
11:02.5,-0.729948,11:02.5,-0.0119567,11:02.5,0.408412
11:02.5,-0.195646,11:02.5,-0.0218284,11:02.5,0.365173
11:02.5,0.165169,11:02.5,0.00300288,11:02.5,0.36528
11:02.5,0.769119,11:02.5,0.0121772,11:02.5,0.529165
11:02.5,0.985606,11:02.5,0.119507,11:02.5,0.414392
11:02.5,0.694064,11:02.5,0.224998,11:02.5,0.262815
11:02.5,0.645251,11:02.5,0.262408,11:02.5,0.259092
11:02.5,0.273883,11:02.5,0.264995,11:02.5,0.0760078
11:02.5,-0.42115,11:02.5,0.231291,11:02.5,-0.0307548
11:02.5,-0.57691,11:02.5,0.128262,11:02.5,0.102885
11:02.5,-0.638763,11:02.5,-0.000334978,11:02.5,0.0452161
11:02.5,-0.668118,11:02.5,-0.0490022,11:02.5,-0.0243032
11:02.5,-0.292802,11:02.5,-0.0314689,11:02.5,0.127007
11:02.5,0.0485456,11:02.5,-0.0170255,11:02.5,0.0691497
11:02.5,0.347966,11:02.5,-0.0375986,11:02.5,-0.0265932
11:02.5,0.82413,11:02.5,-0.0146639,11:02.5,0.0980186
11:02.5,0.877868,11:02.5,0.130978,11:02.5,0.0958288
11:02.5,0.604228,11:02.5,0.239065,11:02.5,0.00497937
11:02.5,0.21198,11:02.5,0.25678,11:02.5,0.0327361
11:02.5,-0.478262,11:02.5,0.286525,11:02.5,0.00434518
