时间 - 电压,幅值 - 电压,时间 - 电压_0,幅值 2 - 电压_0,时间 - 电压_1,幅值 3 - 电压_1
09:56.1,-0.168786,09:56.1,0.201694,09:56.1,-0.0470209
09:56.1,-0.341449,09:56.1,0.213932,09:56.1,0.0241828
09:56.1,-0.150115,09:56.1,0.145048,09:56.1,0.102108
09:56.1,-0.0971651,09:56.1,0.0595176,09:56.1,0.17844
09:56.1,0.293785,09:56.1,-0.0452876,09:56.1,0.22341
09:56.1,0.638303,09:56.1,-0.139737,09:56.1,0.199432
09:56.1,0.470308,09:56.1,-0.169497,09:56.1,0.168006
09:56.1,0.518664,09:56.1,-0.149931,09:56.1,0.0905061
09:56.1,0.33551,09:56.1,-0.19724,09:56.1,-0.0259674
09:56.1,-0.254771,09:56.1,-0.192946,09:56.1,-0.0830936
09:56.1,-0.391253,09:56.1,-0.0668383,09:56.1,-0.0216818
09:56.1,-0.398952,09:56.1,0.0105274,09:56.1,0.0602603
09:56.1,-0.526308,09:56.1,-0.0795305,09:56.1,0.0762248
09:56.1,-0.158771,09:56.1,-0.105528,09:56.1,0.155646
09:56.1,0.227844,09:56.1,-0.0820911,09:56.1,0.238248
09:56.1,0.587274,09:56.1,-0.112878,09:56.1,0.295491
09:56.1,1.10408,09:56.1,-0.25247,09:56.1,0.331217
09:56.1,1.11846,09:56.1,-0.378641,09:56.1,0.324638
09:56.1,0.952065,09:56.1,-0.450718,09:56.1,0.293061
09:56.1,0.814462,09:56.1,-0.403949,09:56.1,0.277483
09:56.1,0.184928,09:56.1,-0.300655,09:56.1,0.273178
09:56.1,-0.277067,09:56.1,-0.295513,09:56.1,0.215818
09:56.1,-0.556822,09:56.1,-0.239211,09:56.1,0.160613
09:56.1,-0.852073,09:56.1,-0.100868,09:56.1,0.0662684
09:56.1,-0.713135,09:56.1,0.038296,09:56.1,0.0534368
09:56.1,-0.441314,09:56.1,0.0989056,09:56.1,0.121868
09:56.1,-0.247029,09:56.1,0.163323,09:56.1,0.134774
09:56.1,0.0961244,09:56.1,0.205927,09:56.1,0.163919
09:56.1,0.228537,09:56.1,0.146197,09:56.1,0.290461
09:56.1,0.280683,09:56.1,0.0485802,09:56.1,0.398198
09:56.1,0.367203,09:56.1,-0.0683343,09:56.1,0.39307
09:56.1,0.236987,09:56.1,-0.170059,09:56.1,0.354902
09:56.1,0.135608,09:56.1,-0.251828,09:56.1,0.263346
09:56.1,0.0778794,09:56.1,-0.298822,09:56.1,0.184571
09:56.1,-0.139213,09:56.1,-0.349047,09:56.1,0.0962102
09:56.1,-0.327966,09:56.1,-0.375924,09:56.1,-0.0332916
09:56.1,-0.239123,09:56.1,-0.355756,09:56.1,-0.0968099
09:56.1,-0.0431192,09:56.1,-0.210824,09:56.1,-0.0611424
09:56.1,0.0183249,09:56.1,0.0121403,09:56.1,0.0260878
09:56.1,0.0405979,09:56.1,0.158895,09:56.1,0.108304
09:56.1,0.249488,09:56.1,0.248808,09:56.1,0.156145
09:56.1,0.539957,09:56.1,0.296788,09:56.1,0.116419
09:56.1,0.578468,09:56.1,0.338067,09:56.1,0.122216
09:56.1,0.370957,09:56.1,0.272077,09:56.1,0.102774
09:56.1,0.159147,09:56.1,0.137014,09:56.1,-0.0323677
09:56.1,-0.0350511,09:56.1,-0.0636733,09:56.1,-0.117403
09:56.1,-0.293211,09:56.1,-0.206597,09:56.1,-0.153576
09:56.1,-0.54083,09:56.1,-0.247849,09:56.1,-0.204024
09:56.1,-0.547822,09:56.1,-0.299952,09:56.1,-0.169612
09:56.1,-0.280044,09:56.1,-0.32016,09:56.1,-0.0592542
09:56.1,0.123421,09:56.1,-0.176915,09:56.1,-0.03479
09:56.1,0.36659,09:56.1,0.0820827,09:56.1,0.0605285
09:56.1,0.448515,09:56.1,0.197978,09:56.1,0.237675
09:56.1,0.514289,09:56.1,0.221723,09:56.1,0.293194
09:56.1,0.512365,09:56.1,0.258075,09:56.1,0.286695
09:56.1,0.35392,09:56.1,0.307407,09:56.1,0.243773
09:56.1,-0.0461602,09:56.1,0.276957,09:56.1,0.123049
09:56.1,-0.207272,09:56.1,0.158682,09:56.1,0.0686383
09:56.1,-0.158124,09:56.1,0.0881433,09:56.1,0.0546503
09:56.1,-0.218425,09:56.1,0.0905454,09:56.1,-0.0832248
09:56.1,-0.150611,09:56.1,0.0706017,09:56.1,-0.155388
09:56.1,-0.0454426,09:56.1,0.0152004,09:56.1,-0.0332153
09:56.1,0.16245,09:56.1,0.0450981,09:56.1,0.0657547
09:56.1,0.491877,09:56.1,0.107577,09:56.1,0.17403
09:56.1,0.55321,09:56.1,0.0918651,09:56.1,0.329998
09:56.1,0.288149,09:56.1,0.0895441,09:56.1,0.384847
09:56.1,0.112128,09:56.1,0.103067,09:56.1,0.385004
09:56.1,0.118172,09:56.1,0.0702131,09:56.1,0.34292
09:56.1,-0.157827,09:56.1,0.0430095,09:56.1,0.128984
09:56.1,-0.382825,09:56.1,0.144725,09:56.1,-0.140582
09:56.1,-0.275326,09:56.1,0.106905,09:56.1,-0.39832
