时间 - 电压,幅值 - 电压,时间 - 电压_0,幅值 2 - 电压_0,时间 - 电压_1,幅值 3 - 电压_1
10:27.4,0.406162,10:27.4,-0.348461,10:27.4,0.0120962
10:27.4,0.344179,10:27.4,-0.265914,10:27.4,-0.154151
10:27.4,0.491617,10:27.4,-0.188358,10:27.4,-0.253383
10:27.4,0.466191,10:27.4,-0.0851738,10:27.4,-0.287105
10:27.4,0.229239,10:27.4,0.0808382,10:27.4,-0.215569
10:27.4,0.000538826,10:27.4,0.195415,10:27.4,-0.0632119
10:27.4,-0.4809,10:27.4,0.30152,10:27.4,0.139483
10:27.4,-0.619524,10:27.4,0.435028,10:27.4,0.293753
10:27.4,-0.440842,10:27.4,0.447971,10:27.4,0.338281
10:27.4,-0.379856,10:27.4,0.244263,10:27.4,0.357964
10:27.4,-0.118873,10:27.4,0.142165,10:27.4,0.277016
10:27.4,-0.00811458,10:27.4,0.0975025,10:27.4,0.0179088
10:27.4,0.121545,10:27.4,-0.0667751,10:27.4,-0.169678
10:27.4,0.455179,10:27.4,-0.228434,10:27.4,-0.228658
10:27.4,0.453811,10:27.4,-0.142529,10:27.4,-0.378157
10:27.4,0.400006,10:27.4,-0.0142205,10:27.4,-0.474578
10:27.4,0.317537,10:27.4,0.00633717,10:27.4,-0.31195
10:27.4,0.104951,10:27.4,0.138423,10:27.4,-0.113455
10:27.4,-0.0346661,10:27.4,0.382026,10:27.4,0.00851154
10:27.4,-0.281625,10:27.4,0.446303,10:27.4,0.171163
10:27.4,-0.426223,10:27.4,0.340768,10:27.4,0.256271
10:27.4,-0.496882,10:27.4,0.341967,10:27.4,0.206294
10:27.4,-0.451809,10:27.4,0.338894,10:27.4,0.17572
10:27.4,-0.282574,10:27.4,0.0650024,10:27.4,0.140676
10:27.4,-0.224923,10:27.4,-0.222459,10:27.4,0.0425839
10:27.4,0.00153303,10:27.4,-0.30288,10:27.4,-0.0848281
10:27.4,0.35235,10:27.4,-0.337893,10:27.4,-0.230479
10:27.4,0.368232,10:27.4,-0.413004,10:27.4,-0.255641
10:27.4,0.439508,10:27.4,-0.317168,10:27.4,-0.18368
10:27.4,0.372639,10:27.4,-0.141606,10:27.4,-0.225074
10:27.4,-0.0260878,10:27.4,-0.0173128,10:27.4,-0.245575
10:27.4,-0.265055,10:27.4,0.149074,10:27.4,-0.16848
10:27.4,-0.487434,10:27.4,0.35653,10:27.4,-0.167099
10:27.4,-0.520985,10:27.4,0.462487,10:27.4,-0.167284
10:27.4,-0.137206,10:27.4,0.395993,10:27.4,-0.117984
10:27.4,-0.00795245,10:27.4,0.240592,10:27.4,-0.172391
10:27.4,-0.0784469,10:27.4,0.0621259,10:27.4,-0.205847
10:27.4,0.273412,10:27.4,-0.113854,10:27.4,-0.109596
10:27.4,0.247948,10:27.4,-0.263366,10:27.4,-0.121453
10:27.4,0.101863,10:27.4,-0.428692,10:27.4,-0.224113
10:27.4,0.0272822,10:27.4,-0.444468,10:27.4,-0.205991
10:27.4,-0.258255,10:27.4,-0.366299,10:27.4,-0.201781
10:27.5,-0.161847,10:27.5,-0.239656,10:27.5,-0.207244
10:27.5,-0.149903,10:27.5,-0.117739,10:27.5,-0.0854337
10:27.5,-0.357831,10:27.5,0.0527692,10:27.5,-0.0160038
10:27.5,-0.211277,10:27.5,0.215552,10:27.5,-0.020436
10:27.5,0.0587785,10:27.5,0.280308,10:27.5,0.0594962
10:27.5,0.0503087,10:27.5,0.253302,10:27.5,0.112758
10:27.5,0.0304902,10:27.5,0.189795,10:27.5,0.144087
10:27.5,0.221442,10:27.5,0.0376797,10:27.5,0.186852
10:27.5,0.254861,10:27.5,-0.144849,10:27.5,0.171846
10:27.5,0.254171,10:27.5,-0.200096,10:27.5,0.160202
10:27.5,0.172504,10:27.5,-0.175077,10:27.5,0.162529
10:27.5,-0.128103,10:27.5,-0.159068,10:27.5,0.10085
10:27.5,-0.0978184,10:27.5,-0.141032,10:27.5,0.0842893
10:27.5,-0.012871,10:27.5,-0.0201964,10:27.5,0.136907
10:27.5,-0.279865,10:27.5,0.169302,10:27.5,0.0584805
10:27.5,-0.438902,10:27.5,0.261184,10:27.5,-0.0278187
10:27.5,-0.417781,10:27.5,0.303178,10:27.5,0.0147402
10:27.5,-0.356276,10:27.5,0.291109,10:27.5,-0.0179935
10:27.5,-0.324906,10:27.5,0.220519,10:27.5,-0.0998259
10:27.5,-0.185812,10:27.5,0.0702322,10:27.5,-0.0533509
10:27.5,-0.0310755,10:27.5,-0.0993764,10:27.5,-0.0249863
10:27.5,0.0161862,10:27.5,-0.231571,10:27.5,0.00179768
10:27.5,0.229584,10:27.5,-0.291616,10:27.5,0.0868261
10:27.5,0.373063,10:27.5,-0.295455,10:27.5,0.0996339
10:27.5,0.274761,10:27.5,-0.297694,10:27.5,0.0762188
10:27.5,0.142026,10:27.5,-0.160686,10:27.5,0.0862765
10:27.5,0.0153387,10:27.5,0.0605059,10:27.5,0.0482905
10:27.5,-0.175449,10:27.5,0.218058,10:27.5,0.0205553
10:27.5,-0.372791,10:27.5,0.286057,10:27.5,-0.0115418
10:27.5,-0.588453,10:27.5,0.440741,10:27.5,-0.145048
10:27.5,-0.618865,10:27.5,0.536016,10:27.5,-0.167896
10:27.5,-0.699011,10:27.5,0.365657,10:27.5,-0.0300896
10:27.5,-0.626717,10:27.5,0.136971,10:27.5,-0.00545144
10:27.5,-0.348136,10:27.5,0.0714016,10:27.5,0.00410795
10:27.5,-0.125345,10:27.5,-0.0436449,10:27.5,0.122499
10:27.5,0.336367,10:27.5,-0.246108,10:27.5,0.144963
10:27.5,0.420166,10:27.5,-0.329069,10:27.5,0.10703
10:27.5,0.16824,10:27.5,-0.290948,10:27.5,0.122753
10:27.5,0.134264,10:27.5,-0.282151,10:27.5,0.0242889
10:27.5,-0.162674,10:27.5,-0.175111,10:27.5,-0.0812078
10:27.5,-0.360998,10:27.5,0.0230563,10:27.5,-0.0978553
10:27.5,-0.366033,10:27.5,0.166166,10:27.5,-0.156256
10:27.5,-0.450243,10:27.5,0.126336,10:27.5,-0.224322
10:27.5,-0.202986,10:27.5,0.113684,10:27.5,-0.204577
10:27.5,-0.14096,10:27.5,0.125014,10:27.5,-0.133522
10:27.5,-0.146717,10:27.5,-0.0101948,10:27.5,-0.0398409
10:27.5,0.182776,10:27.5,-0.25823,10:27.5,0.0542212
10:27.5,0.220612,10:27.5,-0.40221,10:27.5,0.0489938
10:27.5,0.208088,10:27.5,-0.47455,10:27.5,0.0189793
10:27.5,0.286149,10:27.5,-0.493391,10:27.5,0.0127017
10:27.5,0.0847614,10:27.5,-0.419868,10:27.5,-0.0574088
10:27.5,0.143435,10:27.5,-0.283741,10:27.5,-0.131093
10:27.5,0.112236,10:27.5,-0.181025,10:27.5,-0.122255
10:27.5,-0.128229,10:27.5,0.00171185,10:27.5,-0.152258
10:27.5,-0.169164,10:27.5,0.18284,10:27.5,-0.146583
10:27.5,-0.184073,10:27.5,0.170518,10:27.5,-0.0597119
10:27.5,-0.28711,10:27.5,0.0407481,10:27.5,-0.0564849
10:27.5,-0.179563,10:27.5,-0.0120389,10:27.5,-0.0213385
10:27.5,-0.057708,10:27.5,-0.0874889,10:27.5,0.0547838
10:27.5,0.0768268,10:27.5,-0.171881,10:27.5,0.0027287
10:27.5,0.377775,10:27.5,-0.189333,10:27.5,-0.0951469
10:27.5,0.465137,10:27.5,-0.164144,10:27.5,-0.128816
10:27.5,0.352532,10:27.5,-0.160416,10:27.5,-0.198486
10:27.5,0.265076,10:27.5,-0.0965083,10:27.5,-0.225542
