时间 - 电压,幅值 - 电压,时间 - 电压_0,幅值 2 - 电压_0,时间 - 电压_1,幅值 3 - 电压_1
08:31.1,0.437629,08:31.1,-0.0270557,08:31.1,0.0536835
08:31.1,0.478915,08:31.1,-0.0869262,08:31.1,0.0739336
08:31.1,0.393544,08:31.1,-0.0958622,08:31.1,0.0399578
08:31.1,0.0141013,08:31.1,-0.212305,08:31.1,-0.0702393
08:31.1,-0.135552,08:31.1,-0.287814,08:31.1,-0.200716
08:31.1,-0.331717,08:31.1,-0.20543,08:31.1,-0.258621
08:31.1,-0.50032,08:31.1,-0.17735,08:31.1,-0.239751
08:31.1,-0.44386,08:31.1,-0.215369,08:31.1,-0.276108
08:31.1,-0.344476,08:31.1,-0.106245,08:31.1,-0.296123
08:31.1,-0.114188,08:31.1,0.035497,08:31.1,-0.239971
08:31.1,0.200895,08:31.1,0.0159931,08:31.1,-0.161809
08:31.1,0.296121,08:31.1,0.0237536,08:31.1,-0.0685596
08:31.1,0.298703,08:31.1,0.0565791,08:31.1,0.0657165
08:31.1,0.277902,08:31.1,-0.0516081,08:31.1,0.135463
08:31.1,0.13062,08:31.1,-0.155252,08:31.1,0.132422
08:31.1,-0.0365639,08:31.1,-0.106559,08:31.1,0.112121
08:31.1,-0.17889,08:31.1,-0.121622,08:31.1,0.10802
08:31.1,-0.326174,08:31.1,-0.243294,08:31.1,0.130063
08:31.1,-0.364908,08:31.1,-0.165416,08:31.1,0.112286
08:31.1,-0.266732,08:31.1,0.0373924,08:31.1,0.0735462
08:31.1,-0.237929,08:31.1,0.146587,08:31.1,0.0564909
08:31.1,-0.0868213,08:31.1,0.142711,08:31.1,0.0602531
08:31.1,0.255518,08:31.1,0.245748,08:31.1,0.00450134
08:31.1,0.27795,08:31.1,0.40639,08:31.1,-0.0699103
08:31.1,0.247219,08:31.1,0.405706,08:31.1,-0.071367
08:31.1,0.339525,08:31.1,0.286614,08:31.1,-0.0765729
08:31.1,0.475446,08:31.1,0.201683,08:31.1,-0.110781
08:31.1,0.471557,08:31.1,0.131334,08:31.1,-0.0810158
08:31.1,0.239874,08:31.1,0.00893831,08:31.1,-0.00374317
08:31.1,0.118011,08:31.1,-0.0955892,08:31.1,0.0191677
08:31.1,0.0901866,08:31.1,-0.127168,08:31.1,0.0594795
08:31.1,-0.0316203,08:31.1,-0.111283,08:31.1,0.119364
08:31.1,-0.164911,08:31.1,-0.0189745,08:31.1,0.129899
08:31.1,-0.252936,08:31.1,0.107437,08:31.1,0.0928366
08:31.1,-0.254079,08:31.1,0.204521,08:31.1,0.066117
08:31.1,-0.15138,08:31.1,0.203805,08:31.1,0.0433123
08:31.1,-0.0345123,08:31.1,0.229652,08:31.1,0.0273633
08:31.1,-0.0706983,08:31.1,0.241917,08:31.1,0.00339746
08:31.1,-0.0635827,08:31.1,0.155605,08:31.1,-0.052141
08:31.1,0.0494206,08:31.1,0.0349355,08:31.1,-0.0329614
08:31.1,-0.0237274,08:31.1,-0.0123715,08:31.1,-0.0260508
08:31.1,-0.0510788,08:31.1,-0.0345802,08:31.1,-0.132939
08:31.1,0.0158846,08:31.1,-0.0818586,08:31.1,-0.179893
08:31.1,0.0325322,08:31.1,-0.046711,08:31.1,-0.11778
08:31.1,0.26588,08:31.1,0.00771403,08:31.1,-0.154843
08:31.1,0.409514,08:31.1,0.0501108,08:31.1,-0.186653
08:31.1,0.339826,08:31.1,0.11691,08:31.1,-0.0643265
08:31.1,0.433375,08:31.1,0.156019,08:31.1,0.0211096
08:31.1,0.432324,08:31.1,0.108716,08:31.1,0.0417578
08:31.1,0.154169,08:31.1,0.0328887,08:31.1,0.0800467
08:31.1,0.0939775,08:31.1,0.0158465,08:31.1,0.0900602
08:31.1,0.049392,08:31.1,0.00303864,08:31.1,0.0786602
08:31.1,-0.159612,08:31.1,0.00253797,08:31.1,0.0428319
08:31.1,-0.155418,08:31.1,-0.0353181,08:31.1,-0.0785887
