时间 - 电压,幅值 - 电压,时间 - 电压_0,幅值 2 - 电压_0,时间 - 电压_1,幅值 3 - 电压_1
10:51.2,0.372804,10:51.2,-0.253328,10:51.2,0.103163
10:51.2,0.588564,10:51.2,-0.285107,10:51.2,0.290809
10:51.2,0.61857,10:51.2,-0.292218,10:51.2,0.437576
10:51.2,0.319083,10:51.2,-0.264031,10:51.2,0.49497
10:51.2,-0.125629,10:51.2,-0.229005,10:51.2,0.407004
10:51.2,-0.67959,10:51.2,-0.189081,10:51.2,0.240526
10:51.2,-0.896505,10:51.2,-0.166721,10:51.2,-0.00228524
10:51.2,-0.870043,10:51.2,-0.0982499,10:51.2,-0.289782
10:51.2,-0.778308,10:51.2,0.00491619,10:51.2,-0.459027
10:51.2,-0.485098,10:51.2,0.0752938,10:51.2,-0.462641
10:51.2,0.0812709,10:51.2,0.13352,10:51.2,-0.387272
10:51.2,0.65333,10:51.2,0.195367,10:51.2,-0.247935
10:51.2,0.786469,10:51.2,0.258934,10:51.2,-0.0609601
10:51.2,0.732894,10:51.2,0.301683,10:51.2,0.145615
10:51.2,0.466397,10:51.2,0.332386,10:51.2,0.292423
10:51.2,-0.0615966,10:51.2,0.270575,10:51.2,0.302184
10:51.2,-0.476673,10:51.2,0.180786,10:51.2,0.198718
10:51.2,-0.734361,10:51.2,0.139607,10:51.2,-0.00990391
10:51.2,-0.875924,10:51.2,0.100963,10:51.2,-0.225884
10:51.2,-0.669343,10:51.2,0.0942981,10:51.2,-0.377003
10:51.2,0.0598538,10:51.2,0.0548375,10:51.2,-0.489931
10:51.2,0.499574,10:51.2,-0.0169861,10:51.2,-0.508499
10:51.2,0.8137,10:51.2,-0.0621653,10:51.2,-0.382315
10:51.2,1.25214,10:51.2,-0.0631309,10:51.2,-0.235096
10:51.2,1.01702,10:51.2,-0.0537074,10:51.2,-0.0983489
10:51.2,0.555604,10:51.2,-0.129964,10:51.2,0.114156
10:51.2,0.0967836,10:51.2,-0.19436,10:51.2,0.299239
10:51.2,-0.573405,10:51.2,-0.215008,10:51.2,0.332066
10:51.2,-0.791596,10:51.2,-0.275699,10:51.2,0.285646
10:51.2,-0.610917,10:51.2,-0.346807,10:51.2,0.181876
10:51.2,-0.253899,10:51.2,-0.318972,10:51.2,-0.0212693
10:51.2,0.258737,10:51.2,-0.184608,10:51.2,-0.180892
10:51.2,0.683365,10:51.2,-0.119644,10:51.2,-0.296732
10:51.2,1.20773,10:51.2,-0.124915,10:51.2,-0.328133
10:51.2,1.35214,10:51.2,0.0148833,10:51.2,-0.184162
10:51.2,0.748569,10:51.2,0.229762,10:51.2,-0.0693953
10:51.2,0.115801,10:51.2,0.27145,10:51.2,0.0303113
10:51.2,-0.483563,10:51.2,0.198959,10:51.2,0.278393
10:51.2,-1.06231,10:51.2,0.186642,10:51.2,0.401492
10:51.2,-1.08464,10:51.2,0.204388,10:51.2,0.324819
10:51.2,-0.914768,10:51.2,0.100602,10:51.2,0.31646
10:51.2,-0.611112,10:51.2,-0.0665474,10:51.2,0.228394
10:51.2,0.210561,10:51.2,-0.097785,10:51.2,-0.0620794
10:51.2,0.791888,10:51.2,-0.075649,10:51.2,-0.261241
10:51.2,1.03912,10:51.2,-0.0771368,10:51.2,-0.327653
10:51.2,1.29658,10:51.2,-0.0892401,10:51.2,-0.359737
10:51.2,1.00798,10:51.2,-0.0607574,10:51.2,-0.210189
10:51.2,0.487264,10:51.2,-0.023607,10:51.2,-0.0779831
10:51.2,-0.165912,10:51.2,-0.0140035,10:51.2,0.0247777
10:51.2,-0.823703,10:51.2,0.0139511,10:51.2,0.308481
10:51.2,-0.983666,10:51.2,0.0286806,10:51.2,0.46232
10:51.2,-0.777538,10:51.2,-0.0314999,10:51.2,0.411227
10:51.2,-0.400662,10:51.2,-0.135443,10:51.2,0.435828
10:51.2,0.18634,10:51.2,-0.166495,10:51.2,0.338346
10:51.2,0.760151,10:51.2,-0.125109,10:51.2,0.0631344
10:51.2,1.04105,10:51.2,-0.105864,10:51.2,-0.0268519
10:51.2,1.1962,10:51.2,-0.125794,10:51.2,-0.0982761
10:51.2,1.05323,10:51.2,-0.0960326,10:51.2,-0.236391
10:51.2,0.515106,10:51.2,-0.000603199,10:51.2,-0.150533
10:51.2,-0.122459,10:51.2,0.0456381,10:51.2,-0.0111675
10:51.2,-0.743457,10:51.2,0.0543892,10:51.2,0.0189006
10:51.2,-1.07244,10:51.2,0.0404751,10:51.2,0.104278
10:51.2,-1.03285,10:51.2,0.0572038,10:51.2,0.144907
10:51.2,-0.8376,10:51.2,0.0358415,10:51.2,0.0492048
10:51.2,-0.526488,10:51.2,-0.0863385,10:51.2,0.0696206
