time_sec,channel_1,channel_2,channel_3
0.0,0.57694,-0.146948,0.020777
0.0,0.425956,-0.0682342,0.0462174
0.0,0.231576,-0.0785935,0.0329387
0.0,0.178607,-0.0858128,0.106907
0.0,-0.0570118,0.00672102,0.130972
0.0,-0.361094,0.0429666,0.0604296
0.0,-0.541278,-0.0155544,-0.0297797
0.0,-0.566163,-0.0176299,0.00463486
0.0,-0.50709,0.0176644,0.0776517
0.0,-0.42896,-0.0283253,0.0930309
0.0,-0.27994,-0.066303,0.143608
0.0,-0.0171578,0.0180161,0.282513
0.0,0.390464,0.0309598,0.289707
0.0,0.59064,-0.0429213,0.154835
0.0,0.597473,0.0447464,0.131768
0.0,0.501126,0.162845,0.08955
0.0,0.21881,0.122672,-0.0983405
0.0,-0.0312328,0.0704467,-0.253072
0.0,-0.317453,0.142374,-0.341815
0.0,-0.627586,0.145301,-0.421708
0.0,-0.461202,0.0798917,-0.416526
0.0,-0.183673,0.0583971,-0.327395
0.0,-0.223105,0.0354397,-0.243257
0.0,0.0106978,0.0370955,-0.0680435
0.0,0.432258,0.0694883,0.0477016
0.0,0.584321,0.105858,0.119485
0.0,0.600016,0.0907254,0.244471
0.0,0.279847,0.093534,0.257601
0.0,-0.151269,0.157827,0.160514
0.0,-0.327637,0.19441,0.133604
0.0,-0.640723,0.209984,0.0643849
0.0,-0.967789,0.214444,-0.0402582
0.0,-0.725893,0.174963,-0.045265
0.0,-0.400196,0.0817764,-0.0843775
0.0,-0.141306,0.0668836,-0.0616264
0.0,0.348742,0.0755906,0.0746047
0.0,0.512328,-0.00679016,0.0790572
0.0,0.453143,-0.0601625,0.0213158
0.0,0.40495,0.0393593,0.119669
0.0,0.0239396,0.186689,0.124443
0.0,-0.342391,0.17615,-0.020169
0.0,-0.357559,0.152054,-0.040853
0.0,-0.301501,0.239404,-0.0779724
0.0,-0.266434,0.292151,-0.145061
0.0,-0.0743377,0.108954,-0.0703609
0.0,0.109187,-0.0865078,-0.0251853
0.0,0.233195,-0.15559,-0.0348091
0.0,0.240716,-0.262634,0.0410295
0.0,0.158061,-0.3592,0.0195301
0.0,0.111626,-0.302745,-0.0845635
0.0,-0.138917,-0.174825,-0.0898445
0.0,-0.304761,-0.140229,-0.187172
0.0,-0.243345,-0.060271,-0.301547
0.0,-0.356143,0.065099,-0.232337
0.0,-0.373325,0.0843704,-0.227185
0.0,-0.29108,0.00803232,-0.284945
0.0,-0.315672,-0.0676131,-0.148414
0.0,-0.131956,-0.0968194,-0.059185
0.0,0.127164,-0.150164,-0.0809348
0.0,0.000606775,-0.19132,0.0191081
0.0,0.104613,-0.23263,0.0104189
0.0,0.35426,-0.120567,-0.134017
0.0,0.104578,0.0440025,-0.123801
0.0,0.00427365,0.204898,-0.0957632
0.0,0.084182,0.242646,-0.152566
0.0,-0.121003,0.262114,-0.0889039
0.0,-0.207655,0.378257,-0.0642633
0.0,-0.195802,0.404608,-0.113653
0.0,-0.0985301,0.230557,-0.00342131
0.0,0.060246,0.087204,0.0382483
0.0,-0.0481153,0.0653696,-0.0356793
0.0,-0.151922,-0.129641,0.0311744
0.0,-0.00731945,-0.306649,0.0424325
0.0,-0.115415,-0.194917,-0.0228965
0.0,-0.197026,-0.063926,0.0612879
0.0,-0.0783098,-0.112234,0.0842488
0.0,-0.204986,-0.0843894,-0.0346482
0.0,-0.248903,0.0900149,0.0198448
0.0,-0.016911,0.0878882,0.100775
0.0,-0.0233328,-0.0141287,0.0340521
0.0,-0.0976682,-0.0788915,-0.00348091
0.0,0.151989,-0.102909,-0.0347364
0.0,0.298389,-0.239097,-0.105129
0.0,0.182567,-0.3409,-0.0761843
0.0,0.16969,-0.263606,0.00027895
0.0,-0.0723135,-0.142561,-0.00185132
0.0,-0.17599,-0.0463474,0.0274229
0.0,0.0502038,0.119909,0.0799274
