time_sec,channel_1,channel_2,channel_3
0.0,0.133935,-0.27765,-0.155239
0.0,0.202844,-0.354497,-0.10504
0.0,0.235615,-0.293819,-0.0150347
0.0,0.270833,-0.222248,0.0433457
0.0,0.334967,-0.0716245,0.00845075
0.0,0.44795,0.119802,-0.0281513
0.0,0.384861,0.258447,-0.138934
0.0,0.280957,0.362928,-0.324986
0.0,0.334243,0.425323,-0.386099
0.0,0.232869,0.390208,-0.379713
0.0,0.0225794,0.258608,-0.415887
0.0,-0.0992846,0.166079,-0.364306
0.0,-0.364902,0.076772,-0.230526
0.0,-0.466934,-0.00358701,-0.115563
0.0,-0.38348,-0.0369883,-0.00499368
0.0,-0.545642,-0.0636983,0.0635529
0.0,-0.423011,-0.0461197,0.0745785
0.0,-0.0814044,0.062362,0.0498056
0.0,0.130225,0.145165,-0.0252116
0.0,0.426543,0.166748,-0.110837
0.0,0.493125,0.256191,-0.190451
0.0,0.632881,0.419304,-0.244213
0.0,0.5172,0.475612,-0.194846
0.0,-0.107923,0.365926,-0.0854802
0.0,-0.404226,0.293218,-0.0124228
0.0,-0.435488,0.287799,0.0656819
0.0,-0.729709,0.228258,0.141243
0.0,-1.0125,0.0945759,0.166599
0.0,-0.81983,-0.00601411,0.19292
0.0,-0.394474,-0.0685656,0.132951
0.0,0.0569046,-0.120327,-0.0408733
0.0,0.469246,-0.138754,-0.0892138
0.0,0.714562,-0.0703382,-0.107479
0.0,0.883952,-0.0301337,-0.199214
0.0,0.845978,-0.0136995,-0.182644
0.0,0.2693,0.01436,-0.138239
0.0,-0.369594,0.137979,-0.134948
0.0,-0.924478,0.185595,-0.0233817
0.0,-1.20861,0.151511,0.0821269
0.0,-1.19924,0.120867,0.0541878
0.0,-1.03393,0.0967634,0.0861609
0.0,-0.38958,0.0119507,0.0996673
0.0,0.34483,-0.0477982,0.0233388
0.0,0.82831,-0.0967646,0.0273347
0.0,1.22451,-0.135503,-0.0143838
0.0,1.15473,-0.157512,-0.109812
0.0,0.732181,-0.123035,-0.0222468
0.0,0.239496,-0.085007,0.0949705
0.0,-0.46658,-0.0133979,0.0989795
0.0,-0.959991,0.0255346,0.23013
0.0,-1.05414,0.033282,0.33026
0.0,-0.990758,0.0169075,0.263306
0.0,-0.688465,0.0237417,0.285031
0.0,-0.0899565,-0.010277,0.254059
0.0,0.539248,-0.0587332,0.0485623
0.0,0.802765,-0.0984931,-0.0776255
0.0,0.823635,-0.0721896,-0.152498
0.0,0.739974,-0.0332248,-0.301212
0.0,0.313934,-0.0743306,-0.247822
0.0,-0.308703,-0.101538,-0.115584
0.0,-0.585347,-0.0504255,-0.0959408
0.0,-0.841755,-0.046736,0.0203466
0.0,-0.965397,-0.083977,0.134176
0.0,-0.631132,-0.0611126,0.0917566
0.0,-0.337524,-0.0514424,0.0638413
0.0,-0.0265038,-0.165164,0.0280726
0.0,0.270052,-0.21906,-0.148269
0.0,0.36428,-0.184939,-0.220007
0.0,0.315713,-0.193751,-0.182673
0.0,0.204071,-0.2748,-0.20322
0.0,0.0484502,-0.282996,-0.153686
0.0,-0.305752,-0.225753,-0.0425351
0.0,-0.555352,-0.179662,0.0612509
0.0,-0.689484,-0.179349,0.18831
0.0,-0.735677,-0.119011,0.23808
0.0,-0.442185,-0.0446069,0.132164
0.0,-0.216943,-0.0215709,0.0737691
0.0,-0.0255549,0.0392437,0.0512016
0.0,0.48329,0.126439,-0.0240493
0.0,0.774311,0.0981522,-0.0529015
0.0,0.555499,0.0797284,-0.0345469
0.0,0.431309,0.154141,-0.0511265
0.0,0.0957143,0.161966,-0.0271261
0.0,-0.321468,0.0626945,0.0684583
0.0,-0.5363,0.0192761,0.0918055
0.0,-0.759686,0.00868082,0.119572
0.0,-0.595001,0.0153601,0.189136
0.0,-0.184103,0.0402975,0.163776
0.0,0.0889802,0.0481141,0.110694
0.0,0.153794,0.0390196,0.096637
0.0,0.337988,0.0973499,0.0659454
0.0,0.438622,0.132477,0.047164
0.0,0.22306,0.0890589,0.110495
0.0,0.11464,0.0435662,0.140802
0.0,0.0209498,0.0383544,0.160283
0.0,-0.0394738,-0.00483394,0.249565
0.0,-0.00445962,-0.0865018,0.304567
0.0,-0.0677824,-0.176269,0.260586
0.0,-0.219431,-0.230758,0.21225
0.0,-0.246743,-0.248985,0.143892
0.0,-0.271903,-0.22325,0.0233078
0.0,-0.367461,-0.153919,-0.0333548
0.0,-0.381398,-0.115571,-0.0551057
0.0,-0.297321,-0.0927866,-0.0800693
0.0,-0.201831,-0.0384808,-0.0103509
0.0,-0.0328732,0.0401402,0.0959265
0.0,0.331622,0.0743115,0.153472
0.0,0.420637,0.0622034,0.203863
0.0,0.424289,0.0857162,0.207716
0.0,0.336397,0.0937057,0.12539
0.0,-0.00170946,0.107061,0.0640988
0.0,-0.288153,0.122799,-0.0250435
0.0,-0.609683,0.168334,-0.150169
0.0,-0.804449,0.137241,-0.140779
0.0,-0.658985,0.101221,-0.0846314
0.0,-0.459849,0.0973618,-0.0803268
0.0,0.0271738,0.064342,0.00799298
0.0,0.35637,-0.00723004,0.15992
0.0,0.382358,-0.0560677,0.206083
0.0,0.571589,-0.129887,0.210111
0.0,0.355486,-0.237557,0.210657
0.0,-0.147883,-0.242541,0.0918901
0.0,-0.454744,-0.216949,-0.0625825
0.0,-0.849049,-0.242968,-0.187244
0.0,-1.05181,-0.258986,-0.309302
0.0,-0.902692,-0.229628,-0.359733
0.0,-0.684421,-0.164521,-0.299306
0.0,-0.24774,-0.0920093,-0.27933
0.0,0.346056,-0.0503135,-0.194335
0.0,0.68995,-0.0925326,-0.0524724
0.0,1.08172,-0.0356042,-0.0210845
0.0,1.17839,0.0799394,0.015291
0.10000000000002274,0.63807,0.0712132,0.0727868
0.10000000000002274,0.162867,-0.0222993,0.00799775
0.10000000000002274,-0.356193,-0.0537479,-0.101438
0.10000000000002274,-1.00526,-0.0425684,-0.114436
0.10000000000002274,-1.1243,-0.0576937,-0.126133
0.10000000000002274,-0.957071,-0.0684679,-0.0908923
0.10000000000002274,-0.842788,-0.0841606,0.00389934
0.10000000000002274,-0.275379,-0.0485754,0.01706
0.10000000000002274,0.414727,-0.0402689,0.115846
0.10000000000002274,0.828158,-0.0405335,0.274649
0.10000000000002274,1.19375,-0.032692,0.293366
0.10000000000002274,1.13795,-0.0144994,0.254425
0.10000000000002274,0.607364,-0.0135314,0.258555
0.10000000000002274,0.287331,-0.0367641,0.202022
0.10000000000002274,0.0700426,-0.0545633,0.0937712
0.10000000000002274,-0.281348,-0.0565684,-0.000275373
0.10000000000002274,-0.348932,0.000544786,-0.119659
0.10000000000002274,-0.371293,0.0688386,-0.150658
0.10000000000002274,-0.2029,0.145925,-0.0798261
