time_sec,channel_1,channel_2,channel_3
0.0,0.198535,-0.0632513,0.492166
0.0,-0.156832,0.0692034,0.507416
0.0,-0.331272,0.17405,0.376951
0.0,-0.566946,0.209861,0.242484
0.0,-0.51152,0.228815,-0.00689983
0.0,-0.27371,0.160526,-0.247031
0.0,-0.264943,-0.0113714,-0.313342
0.0,0.00710964,-0.158325,-0.343153
0.0,0.335696,-0.212033,-0.228634
0.0,0.247843,-0.269179,0.010885
0.0,0.262538,-0.299672,0.148928
0.0,0.316653,-0.213583,0.294032
0.0,0.263017,-0.0664377,0.497006
0.0,0.211571,0.0986338,0.480365
0.0,0.127453,0.258988,0.332054
0.0,0.0295937,0.301434,0.146888
0.0,-0.046761,0.306998,-0.188836
0.0,0.0586581,0.376551,-0.433613
0.0,0.058347,0.334516,-0.493711
0.0,-0.0600219,0.159999,-0.512674
0.0,0.0611675,0.0235355,-0.364317
0.0,0.186733,-0.0111651,-0.0391769
0.0,0.251106,-0.0895369,0.228547
0.0,0.297818,-0.206944,0.4616
0.0,0.177605,-0.198823,0.633483
0.0,-0.0331032,-0.109721,0.58488
0.0,-0.0851727,-0.0897062,0.455792
0.0,-0.0121593,-0.0863612,0.211768
0.0,0.030278,-0.00665545,-0.188046
0.0,-0.0480485,0.0343585,-0.487647
0.0,0.0689161,-0.0284886,-0.605237
0.0,0.2372,-0.0363517,-0.604948
0.0,0.263059,0.0187433,-0.357533
0.0,0.130259,0.0101912,-0.00311852
0.0,-0.257667,0.0220048,0.190095
0.0,-0.42907,0.178261,0.441823
0.0,-0.471075,0.203009,0.597018
0.0,-0.478463,0.13615,0.44191
0.0,-0.398805,0.168806,0.225375
0.0,-0.362149,0.227638,-0.00686646
0.0,-0.214729,0.148206,-0.371356
0.0,-0.177662,0.0537443,-0.669624
0.0,-0.134231,0.00810862,-0.754339
0.0,-0.0118661,-0.0227225,-0.751669
0.0,-0.194566,-0.111184,-0.526087
0.0,-0.263146,-0.152407,-0.212009
0.0,-0.176394,-0.129243,0.043633
0.0,-0.192994,-0.100349,0.328355
0.0,-0.176817,-0.100843,0.45663
0.0,-0.0788558,-0.0505424,0.34742
0.0,0.048269,-0.0459194,0.209111
0.0,0.146953,-0.128942,0.0629675
0.0,0.226682,-0.13939,-0.23217
0.0,0.170271,-0.0119925,-0.415481
0.0,-0.0134397,0.00824332,-0.478938
0.0,-0.0152445,-0.0493002,-0.507822
0.0,0.0534558,-0.0534749,-0.317876
0.0,-0.0619924,0.0284016,-0.0284195
0.0,-0.0739264,-0.00416636,0.195011
0.0,-0.0142813,-0.0257683,0.381553
0.0,0.235598,0.00475287,0.447417
0.0,0.281975,-0.0258422,0.302856
0.0,0.153155,-0.120174,0.159454
0.0,0.212961,-0.13954,-0.0206172
0.0,0.100317,-0.130087,-0.325463
0.0,-0.0392699,-0.136486,-0.486096
0.0,-0.0351679,-0.0788736,-0.465089
0.0,-0.199975,0.025326,-0.394975
0.0,-0.493765,0.0127506,-0.245072
0.0,-0.419873,-0.00750303,0.0385797
0.0,-0.450767,0.0952506,0.259444
0.0,-0.528647,0.199142,0.420251
0.0,-0.16193,0.182986,0.494602
0.0,0.0275803,0.166118,0.422317
0.0,0.0791216,0.127339,0.301585
0.0,0.334256,0.0993288,0.144466
0.0,0.247827,0.0663781,0.0524962
0.0,0.107299,0.080204,0.0376749
0.0,0.0596142,0.0839007,0.05023
0.0,-0.096209,0.0772512,0.0729835
0.0,-0.300908,0.0632882,0.158639
0.0,-0.44535,0.0711727,0.228631
0.0,-0.292096,0.0675106,0.232197
0.0,-0.0775218,0.0418961,0.246924
0.0,0.111951,0.060488,0.140738
0.0,0.513673,0.0838768,-0.0655961
0.0,0.663064,0.0614238,-0.203767
0.0,0.509014,0.0519907,-0.277768
0.0,0.462825,0.0644684,-0.332311
0.0,0.341398,0.103152,-0.260023
0.0,0.150832,0.150205,-0.0704193
0.0,-0.119063,0.192404,0.105252
0.0,-0.287158,0.0802541,0.251333
0.0,-0.202112,-0.0584733,0.348197
0.0,-0.176158,-0.122753,0.376288
0.0,-0.0794387,-0.200156,0.269116
0.0,0.124849,-0.31531,0.11304
0.0,0.17208,-0.376254,-0.0120914
0.0,0.354203,-0.330901,-0.210922
0.0,0.33287,-0.366547,-0.38373
0.0,-0.0938308,-0.363852,-0.381541
0.0,-0.366844,-0.247799,-0.284966
0.0,-0.469919,-0.0569272,-0.201654
0.0,-0.683784,0.0476313,-0.00796318
0.0,-0.771139,0.0819981,0.192817
0.0,-0.460392,0.166794,0.256627
0.0,-0.125962,0.160692,0.266713
0.0,0.269819,0.0499237,0.23734
0.0,0.750779,-0.0740993,0.086292
0.0,0.682099,-0.100539,-0.106357
0.0,0.479981,-0.104208,-0.221261
0.0,0.461197,-0.147327,-0.288666
0.0,-0.0140584,-0.130694,-0.302231
0.0,-0.542501,-0.0885844,-0.264527
0.0,-0.635302,-0.00367284,-0.135128
0.0,-0.668149,0.0334573,0.0782716
0.0,-0.565525,0.0910532,0.208176
0.0,-0.275366,0.0729144,0.280497
0.0,0.156654,-0.0289309,0.318122
0.0,0.489745,-0.179785,0.260072
0.0,0.540055,-0.267025,0.0976467
0.0,0.496094,-0.312219,-0.0639892
0.0,0.336156,-0.368944,-0.212321
0.0,-0.0488865,-0.382514,-0.291892
0.0,-0.483238,-0.291212,-0.229905
0.0,-0.530165,-0.10241,-0.109019
0.0,-0.542643,0.0329316,0.0107908
0.0,-0.486684,0.135902,0.17022
0.0,0.057689,0.278697,0.384307
0.0,0.533754,0.329974,0.486164
0.0,0.585916,0.285641,0.455364
0.0,0.764532,0.186948,0.351217
0.0,0.483297,0.134428,0.192777
0.0,0.0699532,-0.0216877,-0.0109613
0.0,0.0758183,-0.0956225,-0.172329
0.0,-0.303895,-0.0333786,-0.208269
0.0,-0.584732,0.0490224,-0.209421
0.0,-0.470963,0.070895,-0.173265
0.0,-0.566295,0.173264,-0.0358987
0.0,-0.289044,0.353733,0.123032
0.0,0.188141,0.386984,0.243703
0.0,0.299418,0.357639,0.311874
0.0,0.292461,0.315753,0.247488
0.0,0.162398,0.137601,0.186422
0.0,0.0169432,-0.138241,0.163704
0.0,-0.0238097,-0.315592,0.0207043
0.0,-0.273995,-0.359371,-0.0477791
0.0,-0.546782,-0.44206,0.0925899
0.0,-0.457484,-0.382981,0.244286
0.0,-0.181732,-0.137548,0.354853
0.0,-0.0295758,0.120984,0.441585
0.0,0.175955,0.241621,0.468366
0.0,0.331854,0.444385,0.489657
0.10000000000002274,0.309937,0.58395,0.446725
0.10000000000002274,0.411202,0.499613,0.187852
