time_sec,channel_1,channel_2,channel_3
0.0,-0.0295591,-0.163852,0.0858593
0.0,0.430936,-0.136265,0.135261
0.0,0.683615,0.00457525,0.064224
0.0,0.87229,0.186566,-0.120578
0.0,0.736978,0.266538,-0.193154
0.0,0.239577,0.275432,-0.293107
0.0,-0.112987,0.264331,-0.46459
0.0,-0.457704,0.180236,-0.443789
0.0,-0.664256,0.0116158,-0.285425
0.0,-0.588746,-0.0930274,-0.145127
0.0,-0.423807,-0.183895,0.0357831
0.0,0.0185204,-0.250376,0.170542
0.0,0.378575,-0.205137,0.217297
0.0,0.658311,-0.0714421,0.27458
0.0,0.84012,0.0298119,0.212548
0.0,0.694516,0.135381,0.0157356
0.0,0.609095,0.287032,-0.105007
0.0,0.374169,0.362171,-0.210193
0.0,0.0744033,0.347652,-0.350692
0.0,-0.0833404,0.255917,-0.327946
0.0,-0.0440991,0.191635,-0.232738
0.0,-0.0360727,0.0694418,-0.150653
0.0,0.147876,-0.0896072,0.0232792
0.0,0.477474,-0.16484,0.138299
0.0,0.489482,-0.12432,0.153215
0.0,0.251788,-0.0707817,0.206826
0.0,0.380961,-0.0108635,0.174253
0.0,0.13491,0.153145,0.0370347
0.0,-0.44425,0.346224,-0.0109732
0.0,-0.598857,0.499159,-0.0373173
0.0,-0.808716,0.599546,-0.142351
0.0,-0.821047,0.569501,-0.145339
0.0,-0.369284,0.462772,-0.0784898
0.0,-0.074048,0.304821,-0.0520635
0.0,0.0997949,0.0946999,-0.00728488
0.0,0.442781,-0.180131,0.0367975
0.0,0.430489,-0.392879,0.0646913
0.0,0.365752,-0.523245,0.115626
0.0,0.246903,-0.587966,0.153953
0.0,-0.258127,-0.516671,0.0877905
0.0,-0.4761,-0.332831,0.0452757
0.0,-0.626888,-0.18966,0.0190008
0.0,-0.876824,-0.0398076,-0.0423098
0.0,-0.726544,0.191282,-0.0636709
0.0,-0.317899,0.344486,-0.144848
0.0,0.0690019,0.317723,-0.264239
0.0,0.338637,0.22729,-0.263044
0.0,0.480164,0.191878,-0.17104
0.0,0.649078,0.110362,-0.112376
0.0,0.661058,-0.117532,-0.0678122
