time_sec,channel_1,channel_2,channel_3
0.0,-0.383557,0.488503,-0.173033
0.0,-0.058589,0.458568,-0.144366
0.0,0.019654,0.288335,-0.0819075
0.0,0.061177,0.0845742,0.107826
0.0,0.241382,-0.133979,0.196646
0.0,0.327811,-0.411079,0.259428
0.0,0.176538,-0.502034,0.380421
0.0,0.140977,-0.33487,0.330771
0.0,-0.0662422,-0.241817,0.243362
0.0,-0.208246,-0.246332,0.215003
0.0,-0.131723,-0.0514233,0.071038
0.0,-0.26859,0.209984,-0.0619173
0.0,-0.195608,0.227362,-0.0503564
0.0,-0.134052,0.246785,-0.0294721
0.0,-0.296504,0.397726,0.0254548
0.0,-0.0437009,0.358351,0.207535
0.0,0.166043,0.185896,0.301108
0.0,-0.115271,0.150547,0.304942
0.0,-0.0320923,0.149959,0.35611
0.0,0.147134,-0.0531137,0.334986
0.0,-0.127019,-0.125883,0.155768
0.0,-0.149666,0.0131226,-0.0191915
0.0,-0.165735,0.152957,-0.162698
0.0,-0.398071,0.129454,-0.26795
0.0,-0.247872,0.20828,-0.238669
0.0,-0.213487,0.342532,-0.165684
0.0,-0.393519,0.275185,-0.0101829
0.0,-0.296094,0.064044,0.273904
0.0,-0.24387,-0.0542748,0.47232
0.0,-0.292677,-0.230445,0.528558
0.0,0.0219309,-0.508368,0.573307
0.0,0.098629,-0.636661,0.451885
0.0,0.0527585,-0.544124,0.178118
0.0,0.342497,-0.435116,0.0120723
0.0,0.213624,-0.198903,-0.20578
0.0,0.12918,0.0932193,-0.53187
0.0,0.229491,0.30416,-0.657829
0.0,-0.059644,0.414819,-0.591539
0.0,-0.291181,0.520865,-0.539626
0.0,-0.203091,0.43656,-0.351335
0.0,-0.295068,0.222838,-0.0590062
0.0,-0.306959,-0.00188589,0.0645947
0.0,-0.17254,-0.177048,0.167255
0.0,-0.147235,-0.434164,0.24127
0.0,0.0968421,-0.533074,0.174183
0.0,0.443717,-0.408787,0.109307
0.0,0.37339,-0.194783,0.0260997
0.0,0.426109,-0.0271749,-0.14138
