time_sec,channel_1,channel_2,channel_3
0.0,0.259745,0.136987,-0.0188708
0.0,0.111536,0.308917,-0.0624478
0.0,-0.333269,0.432515,-0.0816202
0.0,-0.538561,0.348294,-0.173614
0.0,-0.395204,0.228082,-0.285532
0.0,-0.556974,0.126008,-0.273842
0.0,-0.567682,-0.0213575,-0.237103
0.0,-0.200315,-0.110312,-0.208676
0.0,-0.0441015,-0.0871193,-0.0843465
0.0,0.0479198,-0.032196,0.0471187
0.0,0.252582,-0.0626636,0.095619
0.0,0.242695,-0.0245345,0.172601
0.0,0.126476,0.122949,0.23391
0.0,-0.0101578,0.235345,0.184271
0.0,-0.0481236,0.207123,0.0799358
0.0,-0.228477,0.174047,-0.00782728
0.0,-0.324037,0.192825,-0.0724649
0.0,-0.227929,0.171618,-0.111781
0.0,-0.260072,0.139021,-0.161554
0.0,-0.0432706,0.0171626,-0.18185
0.0,0.262945,-0.0984228,-0.129451
0.0,0.303987,-0.155927,-0.0552511
0.0,0.363115,-0.177209,-0.0293827
0.0,0.487515,-0.258838,0.00813961
0.0,0.443771,-0.261564,0.0628066
0.0,0.15977,-0.168812,0.0735247
0.0,-0.110689,-0.117707,0.0830472
0.0,-0.221738,-0.0846255,0.0756812
0.0,-0.281959,0.0193346,-0.010488
0.0,-0.233854,0.10568,-0.0837827
0.0,-0.0808489,0.0587845,-0.147618
0.0,0.0965524,0.00059247,-0.166917
0.0,0.246282,0.0759006,-0.101433
0.0,0.348785,0.107574,-0.035634
0.0,0.467341,0.070883,0.000116825
0.0,0.468936,0.0743055,0.135193
0.0,0.441188,0.184541,0.278258
0.0,0.0564015,0.274552,0.27706
0.0,-0.105188,0.347723,0.269622
0.0,0.0666428,0.391154,0.250119
0.0,-0.233411,0.346321,0.144053
0.0,-0.309041,0.235118,0.016247
0.0,-0.14534,0.0889623,-0.0669813
0.0,-0.16633,-0.0166869,-0.155121
0.0,0.00281334,-0.168451,-0.210924
0.0,0.0467503,-0.31758,-0.245042
0.0,-0.0414872,-0.405643,-0.220324
0.0,0.107303,-0.390162,-0.0615931
0.0,0.0212693,-0.339967,0.023241
0.0,-0.308207,-0.318083,0.0498903
0.0,-0.260507,-0.242345,0.143787
0.0,-0.118731,-0.107533,0.191715
0.0,-0.149058,0.00663042,0.148538
0.0,0.0161636,0.0673068,0.1326
0.0,0.126191,0.0398338,0.0622809
0.0,0.138819,-0.00277042,-0.0427639
0.0,0.303829,0.0140059,-0.0993061
0.0,0.400425,0.00392675,-0.208424
0.0,0.288599,-0.093503,-0.252572
0.0,0.148112,-0.197736,-0.160584
0.0,0.202923,-0.203443,-0.110723
0.0,0.0266159,-0.176547,-0.0867414
0.0,-0.119574,-0.149834,0.0653243
0.0,0.0380647,-0.018307,0.134057
0.0,-0.143052,0.20829,0.0749028
0.0,-0.330111,0.329697,0.0901294
0.0,-0.223308,0.336927,0.0313532
0.0,-0.246066,0.383536,-0.114713
0.0,-0.338938,0.377544,-0.205598
0.0,-0.145813,0.200521,-0.309839
0.0,-0.0818765,0.0693667,-0.372123
0.0,0.0570011,0.0689816,-0.338218
0.0,0.420834,-0.0390792,-0.281003
0.0,0.362384,-0.20066,-0.0883508
0.0,0.270149,-0.150508,0.221198
0.0,0.517999,-0.00488639,0.36466
0.0,0.530932,-0.0045073,0.409698
0.0,0.523554,-0.0162435,0.476702
0.0,0.393848,0.075134,0.303961
0.0,0.14963,0.123601,0.0328183
0.0,-0.00240088,0.0724649,-0.0961256
0.0,-0.293391,0.0358903,-0.291535
0.0,-0.537522,0.0357652,-0.437763
0.0,-0.568837,-0.0185502,-0.310328
0.0,-0.550473,-0.072813,-0.167352
0.0,-0.411645,-0.0575995,-0.00512838
0.0,-0.301139,-0.0973427,0.300542
0.0,-0.162927,-0.162309,0.488528
0.0,0.298129,-0.168135,0.508223
0.0,0.456922,-0.123211,0.460997
0.0,0.299708,-0.0937808,0.245073
0.0,0.331907,-0.06253,-0.0167179
0.0,0.0476158,-0.056814,-0.198429
0.0,-0.358657,-0.0968337,-0.349827
0.0,-0.398321,-0.0748372,-0.374657
0.0,-0.459204,-0.0524175,-0.225145
0.0,-0.387729,-0.0760341,-0.0942361
0.0,-0.355301,-0.0988948,0.0459266
0.0,-0.222254,-0.0250471,0.258074
0.0,0.113434,0.043962,0.327474
0.0,0.256292,0.0430155,0.314401
0.0,0.198462,0.0812984,0.300454
0.0,0.0485682,0.132443,0.100805
0.0,0.0944352,0.0781763,-0.16302
0.0,-0.028199,-0.0846052,-0.284058
0.0,-0.370766,-0.0696552,-0.366011
0.0,-0.152918,-0.0742757,-0.395429
0.0,-0.0223827,-0.188869,-0.215871
0.0,0.0137782,-0.249332,0.0125587
0.0,0.467148,-0.16529,0.163805
0.0,0.661099,-0.136458,0.349838
0.0,0.732402,-0.167599,0.467762
0.0,0.837548,-0.100896,0.442184
0.0,0.574903,-0.0405574,0.355704
0.0,0.251029,-0.0681651,0.155498
0.0,-0.0145829,-0.120192,-0.122684
0.0,-0.354669,-0.116366,-0.343504
0.0,-0.656835,-0.128883,-0.49684
0.0,-0.57425,-0.158815,-0.545456
