time_sec,channel_1,channel_2,channel_3
0.0,0.133359,-0.167618,-0.1912
0.0,-0.15431,-0.122722,-0.442971
0.0,-0.359563,0.00835538,-0.446939
0.0,-0.486231,0.0425088,-0.486461
0.0,-0.643711,0.176339,-0.432899
0.0,-0.587869,0.369548,-0.103383
0.0,-0.230618,0.417153,0.184213
0.0,-0.0621879,0.387866,0.368063
0.0,0.0884116,0.439934,0.612335
0.0,0.256479,0.348704,0.60823
0.0,0.0896037,0.0442922,0.445186
0.0,-0.032773,-0.0869739,0.402985
0.0,-0.151908,-0.160137,0.18425
0.0,-0.295606,-0.434995,-0.107275
0.0,-0.143567,-0.620594,-0.0888777
0.0,-0.0356364,-0.424802,-0.114397
0.0,0.000993013,-0.198127,-0.216869
0.0,0.354259,-0.138719,-0.0619757
0.0,0.379019,0.0891387,0.0887358
0.0,0.392131,0.329897,0.161927
0.0,0.46267,0.338168,0.401736
0.0,0.406266,0.254558,0.421489
0.0,0.357279,0.261124,0.262918
0.0,0.297424,0.0788212,0.277003
0.0,0.23863,-0.231209,0.138814
0.0,0.0516498,-0.379969,-0.118005
0.0,-0.0724792,-0.39857,-0.0898886
0.0,-0.202799,-0.424843,-0.10049
0.0,-0.272826,-0.324149,-0.215185
0.0,-0.188544,-0.0561106,-0.0833952
0.0,-0.274048,0.175782,0.0169277
0.0,-0.087415,0.301602,-0.00810385
0.0,0.109203,0.410126,0.157386
0.0,-0.0471997,0.383823,0.197889
0.0,0.180663,0.206339,0.0357771
0.0,0.477369,0.0444305,0.0216246
0.0,0.226266,-0.0752509,-0.0636756
0.0,0.192053,-0.34462,-0.267625
0.0,0.143234,-0.510828,-0.267782
0.0,-0.123867,-0.377097,-0.283467
0.0,-0.0495374,-0.152763,-0.339746
0.0,-0.140607,0.017302,-0.187997
0.0,-0.229692,0.314319,-0.0486398
0.0,0.110976,0.563825,-0.036267
0.0,0.203565,0.53092,0.128262
0.0,0.0220919,0.445948,0.244536
0.0,0.126362,0.39836,0.181557
0.0,0.213999,0.129225,0.20878
0.0,0.176252,-0.290836,0.124792
0.0,0.153912,-0.472715,-0.0974381
0.0,0.22271,-0.555062,-0.085268
0.0,0.195551,-0.637147,-0.0522423
0.0,0.0726283,-0.524282,-0.209379
0.0,-0.236411,-0.185425,-0.235201
0.0,-0.411974,0.151863,-0.110137
0.0,-0.366952,0.391377,-0.0868523
0.0,-0.551488,0.562255,-0.020355
0.0,-0.58159,0.635165,0.0507998
0.0,-0.436676,0.546347,-0.0391746
0.0,-0.144415,0.318581,-0.074085
0.0,0.300024,0.0630486,0.0465178
0.0,0.420423,-0.233775,0.0536132
0.0,0.482756,-0.547119,0.0717819
0.0,0.547856,-0.676403,0.241147
0.0,0.372883,-0.584939,0.295279
0.0,-0.175787,-0.39497,0.284221
0.0,-0.732671,-0.142457,0.369649
0.0,-1.00506,0.230869,0.340549
0.0,-1.11075,0.542899,0.213332
0.0,-1.0314,0.789423,0.197697
0.0,-0.761676,0.940034,0.0907815
0.0,-0.43991,0.874557,-0.116459
0.0,0.0326574,0.636454,-0.130894
0.0,0.401746,0.410166,-0.0944769
0.0,0.541812,0.0820148,-0.0870347
0.0,0.664057,-0.339154,0.0228453
0.0,0.53852,-0.567503,0.0865257
0.0,0.337452,-0.533339,0.0599957
0.0,-0.044322,-0.400809,0.105865
0.0,-0.515755,-0.172125,0.0181723
0.0,-0.617683,0.137167,-0.132422
0.0,-0.43406,0.49346,-0.0682783
0.0,-0.112463,0.762527,-0.0597048
0.0,0.340209,0.865525,-0.150847
0.0,0.533495,0.774829,-0.0995207
0.0,0.713077,0.623074,-0.0691342
0.0,0.879809,0.317737,-0.0663352
0.0,0.629584,-0.092243,0.107778
0.0,0.160761,-0.440685,0.131754
0.0,-0.311778,-0.586162,-0.0373447
0.0,-0.718292,-0.632646,-0.0175786
0.0,-0.85198,-0.56898,-0.0414336
0.0,-0.962418,-0.398021,-0.173796
