time_sec,channel_1,channel_2,channel_3
0.0,-0.714514,-0.379798,-0.0612879
0.0,-0.833538,-0.353538,0.0833285
0.0,-0.58796,-0.246,0.0526786
0.0,-0.331326,-0.0877929,0.0828946
0.0,-0.0324488,0.0972986,0.068022
0.0,0.429087,0.262531,-0.100499
0.0,0.595257,0.398756,-0.107121
0.0,0.681895,0.417919,-0.0932384
0.0,0.756779,0.353289,-0.228255
0.0,0.481184,0.182707,-0.1916
0.0,0.298967,0.0145614,-0.145406
0.0,0.0825655,-0.176747,-0.247273
0.0,-0.217839,-0.362629,-0.114175
0.0,-0.144789,-0.45577,0.104235
0.0,-0.200253,-0.433999,0.0873411
0.0,-0.421618,-0.319039,0.131633
0.0,-0.0608075,-0.15601,0.203551
0.0,0.0734127,0.132631,0.121913
0.0,0.0450623,0.388004,0.149227
0.0,0.270177,0.474412,0.169517
0.0,0.311255,0.501992,0.00531554
0.0,0.257627,0.479795,-0.0389087
0.0,0.326552,0.359786,0.00867844
0.0,0.317892,0.117841,-0.0589025
0.0,0.0428498,-0.12753,-0.0437772
0.0,0.0851929,-0.323095,-0.00358701
0.0,0.0214219,-0.455215,-0.065161
0.0,-0.280505,-0.598938,0.050379
0.0,-0.0698733,-0.609227,0.159558
0.0,0.0585151,-0.393078,0.0482702
0.0,0.0166202,-0.160505,-0.00444055
0.0,0.143442,0.0102401,0.0385618
0.0,-0.0627446,0.140381,-0.0435591
0.0,-0.109739,0.247904,-0.0751781
0.0,-0.0789595,0.229439,-0.0572705
0.0,-0.224565,0.194136,-0.132307
0.0,-0.237961,0.0451279,-0.107251
0.0,-0.417215,-0.219728,-0.0106514
0.0,-0.561173,-0.408722,-0.000749826
0.0,-0.241104,-0.522623,-0.00581503
0.0,-0.182244,-0.535206,0.00983357
0.0,-0.229535,-0.453615,-0.0105095
0.0,0.148677,-0.284625,0.0251448
0.0,0.21484,-0.116794,0.0870574
0.0,0.181048,0.0671709,0.0434911
0.0,0.263343,0.259792,0.0670719
0.0,0.0991321,0.334665,0.143272
0.0,0.00532866,0.247916,0.138006
0.0,-0.138109,0.0256217,0.115221
0.0,-0.528976,-0.103017,0.153112
0.0,-0.656432,-0.238274,0.128024
0.0,-0.576497,-0.468743,0.0991499
0.0,-0.575138,-0.624099,0.147837
0.0,-0.398239,-0.487347,0.212809
0.0,0.0218928,-0.346096,0.290974
0.0,0.256269,-0.278523,0.332437
0.0,0.342839,-0.0384676,0.325557
0.0,0.512877,0.252427,0.316705
0.0,0.559754,0.346494,0.323905
0.0,0.39925,0.365301,0.227021
0.0,0.186415,0.410085,0.0134325
0.0,-0.076803,0.305463,-0.171847
0.0,-0.230464,0.017544,-0.298988
0.0,-0.407153,-0.199599,-0.344019
0.0,-0.537413,-0.355819,-0.312253
0.0,-0.374774,-0.469238,-0.248624
0.0,-0.0987267,-0.483673,-0.185704
0.0,0.154647,-0.342832,-0.0333953
0.0,0.496954,-0.205957,0.186439
0.0,0.861719,-0.0409472,0.313692
0.0,0.733914,0.191101,0.319768
0.0,0.630361,0.418885,0.234703
0.0,0.550573,0.488992,0.124227
0.0,-0.0636363,0.40363,0.00403166
0.0,-0.426732,0.235877,-0.143143
0.0,-0.43008,0.0403237,-0.288585
0.0,-0.562776,-0.167613,-0.295991
0.0,-0.438458,-0.333385,-0.187254
0.0,-0.11423,-0.470084,-0.0558138
0.0,-0.000736713,-0.484025,0.138291
0.0,0.331452,-0.334477,0.315906
0.0,0.686722,-0.0133801,0.370982
0.0,0.571331,0.267204,0.369662
0.0,0.472847,0.459549,0.348134
0.0,0.347096,0.621186,0.211737
0.0,0.286982,0.719441,-0.0328445
0.0,0.182929,0.609704,-0.273807
0.0,-0.021472,0.346203,-0.481603
0.0,-0.0321078,-0.015415,-0.554196
0.0,0.101708,-0.356057,-0.507342
0.0,0.0870907,-0.53769,-0.394465
0.0,0.0809622,-0.636264,-0.227983
0.0,0.0793314,-0.651892,-0.0827587
0.0,0.146192,-0.517818,0.063771
0.0,0.202528,-0.237961,0.246868
0.0,0.287057,0.0121677,0.369409
0.0,0.416708,0.226165,0.319647
0.0,0.577089,0.389266,0.220362
0.0,0.787433,0.388715,0.136404
0.0,0.537372,0.303416,0.00373721
0.0,0.347906,0.225542,-0.141439
0.0,0.314559,0.136639,-0.237796
0.0,0.0425076,-0.0489819,-0.259762
0.0,-0.196741,-0.176457,-0.223373
0.0,-0.157816,-0.171691,-0.138011
0.0,-0.296049,-0.0912392,-0.0332928
0.0,-0.279877,-0.0142634,0.049721
0.0,-0.0557268,0.0913763,0.100946
0.0,-0.0502205,0.276642,0.162708
0.0,-0.000729561,0.370474,0.142217
0.0,0.086112,0.391278,-0.00479937
0.0,-0.0401986,0.417156,-0.107968
0.0,-0.00663161,0.416769,-0.182221
0.0,0.130628,0.267813,-0.268289
0.0,0.0613022,0.0945592,-0.288332
0.0,-0.0778246,-0.00332117,-0.187433
0.0,-0.0156772,-0.0364506,-0.0677896
0.0,-0.0550568,-0.0136316,0.0480163
0.0,-0.166725,-0.0251901,0.181416
0.0,-0.125886,-0.0464773,0.258311
0.0,-0.134498,-0.00440955,0.25983
0.0,0.0173759,0.0771964,0.244908
0.0,0.237851,0.0734007,0.22889
0.0,0.0679934,0.0112951,0.12926
0.0,0.0295436,-0.0427866,-0.0637496
0.0,-0.0186503,-0.112056,-0.147107
0.0,-0.270869,-0.102369,-0.0408518
0.0,-0.146561,-0.0201917,0.0323009
0.0,-0.0656688,0.0713587,0.0601029
0.0,-0.256077,0.0908577,0.235205
0.0,-0.256296,0.145807,0.350062
0.0,-0.0370634,0.245975,0.321037
0.0,-0.0155306,0.247433,0.3157
0.0,0.0692713,0.126591,0.282594
0.0,0.129448,0.000236034,0.153832
0.0,-0.0714374,-0.0598896,0.0167441
0.0,-0.029366,-0.187494,-0.0907636
0.0,0.0860417,-0.302286,-0.177487
0.0,-0.103263,-0.332572,-0.147382
0.0,-0.0796211,-0.298923,-0.0503528
0.0,-0.000693798,-0.260848,0.0379848
0.0,-0.00197411,-0.128596,0.171946
