time_sec,channel_1,channel_2,channel_3
0.0,0.162454,-0.0714791,-0.542709
0.0,0.120349,-0.119544,-0.632946
0.0,0.219247,-0.0192535,-0.57651
0.0,0.0203764,0.0361359,-0.373855
0.0,0.020268,-0.0415957,-0.117887
0.0,0.0928771,-0.0363708,0.0678933
0.0,0.121099,0.045805,0.246207
0.0,0.383044,0.0368452,0.330535
0.0,0.597258,0.0366735,0.22489
0.0,0.507767,0.185819,0.0376916
0.0,0.310228,0.260825,-0.230565
0.0,0.422177,0.168475,-0.538576
0.0,0.192162,0.108808,-0.647155
0.0,-0.277976,0.125117,-0.604671
0.0,-0.470189,0.0484717,-0.543659
0.0,-0.698476,-0.0615752,-0.303413
0.0,-0.730798,-0.0629413,0.0496948
0.0,-0.38409,-0.0871623,0.286202
0.0,-0.0524056,-0.23474,0.469754
0.0,0.420251,-0.312073,0.592749
0.0,0.644561,-0.182557,0.524719
0.0,0.629802,-0.119044,0.380461
0.0,0.571244,-0.0948298,0.173457
0.0,0.197992,0.00879049,-0.0568593
0.0,-0.185965,0.120323,-0.159967
0.0,-0.30612,0.129229,-0.260587
0.0,-0.384762,0.156695,-0.331943
0.0,-0.389751,0.248104,-0.218366
0.0,-0.0174201,0.221399,-0.10407
0.0,0.331818,0.152496,-0.0770235
0.0,0.514232,0.114532,0.0960267
0.0,0.690265,0.0247681,0.260588
0.0,0.444723,-0.157986,0.233926
0.0,-0.00633359,-0.170606,0.26173
0.0,-0.432259,-0.0321996,0.327396
0.0,-0.982344,0.0141716,0.206248
0.0,-1.24428,9.66e-05,0.0540948
0.0,-1.1252,0.112425,-0.030812
0.0,-0.712252,0.224011,-0.130012
0.0,-0.134541,0.223612,-0.182966
0.0,0.359111,0.300547,-0.211558
0.0,0.885296,0.37552,-0.256778
0.0,1.24721,0.217397,-0.191251
0.0,1.08091,-0.0143564,-0.0503039
0.0,0.619483,-0.117677,0.0707638
0.0,0.159022,-0.219809,0.232607
0.0,-0.417764,-0.399534,0.31055
0.0,-0.866553,-0.424014,0.238053
0.0,-0.895356,-0.37118,0.237577
0.0,-0.844829,-0.348068,0.269006
0.0,-0.481219,-0.262618,0.165629
0.0,0.174226,-0.0347829,0.0581539
0.0,0.71116,0.0816202,0.0209534
0.0,1.00443,0.146515,-0.00317812
0.0,1.14673,0.258926,0.0130677
0.0,0.859225,0.290972,0.0155222
0.0,0.215089,0.107508,-0.0511706
0.0,-0.182607,-0.029881,-0.047642
0.0,-0.648074,-0.0716269,0.0133395
0.0,-1.2687,-0.214163,-0.0235629
0.0,-1.16656,-0.383823,-0.0954008
